Unnamed: 0,host_id,number_of_reviews,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
88,10695276,1,2016-09-02,2016-09-02,100,10,10,6,10,8,8,0.12
89,20089599,346,2014-08-22,2017-04-17,95,9,10,9,10,10,9,10.53
90,50849425,1,2016-01-05,2016-01-05,80,10,8,10,10,10,10,0.06
91,60414489,17,2016-05-06,2017-03-14,91,9,10,9,10,9,9,1.4
92,10348368,0,,,,,,,,,,
93,35660072,3,2016-07-16,2016-08-04,60,5,7,7,7,9,7,0.31
94,21664149,33,2014-11-04,2017-03-04,98,10,10,10,10,10,10,1.09
95,10651976,65,2016-03-05,2017-04-30,96,10,10,10,10,10,10,4.59
96,99502905,8,2016-10-16,2017-02-14,76,6,8,9,8,8,7,1.2
97,15223759,12,2014-10-12,2016-01-02,98,10,10,10,10,10,10,0.39
98,70344,20,2016-02-21,2016-11-06,93,10,10,10,10,10,10,1.37
99,24041211,1,2017-04-22,2017-04-22,100,10,10,10,10,10,10,1.0
100,50397645,11,2015-12-15,2016-08-28,94,9,8,10,10,10,9,0.65
101,24233754,1,2015-10-08,2015-10-08,,,,,,,,0.05
102,72568176,1,2017-02-15,2017-02-15,100,10,8,10,10,8,10,0.38
103,41771987,12,2015-09-22,2016-09-24,96,10,10,10,10,10,9,0.61
104,113111625,1,2017-03-05,2017-03-05,100,10,10,10,10,10,10,0.5
105,125888051,0,,,,,,,,,,
106,97806979,0,,,,,,,,,,
107,48086838,7,2017-01-29,2017-05-01,83,8,9,9,10,10,8,2.21
108,54270621,87,2016-03-06,2017-04-21,98,10,10,10,10,10,10,6.16
109,2155546,51,2013-12-26,2017-04-08,95,9,9,10,10,10,9,1.25
110,47331910,2,2016-03-13,2016-07-25,90,9,8,10,10,10,10,0.14
111,22171649,2,2016-02-28,2016-08-14,100,10,10,10,10,9,9,0.14
112,121359829,4,2017-03-26,2017-04-21,95,10,9,10,10,10,10,3.08
113,50832968,81,2016-07-20,2017-04-21,90,9,9,10,10,10,9,8.44
114,31008174,162,2015-05-01,2017-04-22,91,9,8,10,10,9,9,6.62
115,18429531,90,2015-01-23,2017-04-21,99,10,10,10,10,10,10,3.25
116,5469474,3,2016-06-14,2017-03-26,100,10,10,10,10,9,10,0.28
117,19110598,2,2016-10-20,2017-04-27,100,10,10,9,10,10,10,0.31
118,22697135,7,2014-10-31,2017-04-30,89,9,9,9,9,9,9,0.23
119,27559410,111,2015-03-24,2017-04-22,97,10,10,10,10,10,10,4.31
120,104316115,7,2016-12-28,2017-03-26,100,10,10,10,10,10,10,1.65
121,28595345,81,2016-07-10,2017-04-07,99,10,10,10,10,10,10,8.15
122,1717283,81,2012-02-27,2016-09-04,97,10,10,10,10,10,9,1.28
123,92029437,0,,,,,,,,,,
124,3097566,34,2013-06-19,2016-08-17,93,9,9,10,10,9,9,0.72
125,28943035,0,,,,,,,,,,
126,87159016,0,,,,,,,,,,
127,11428758,4,2017-01-17,2017-03-17,100,10,10,10,10,10,10,1.12
128,67380690,4,2016-08-01,2017-04-30,90,9,10,10,10,10,9,0.43
129,27207281,7,2015-05-26,2016-05-30,83,8,8,8,9,10,9,0.3
130,2582717,4,2013-07-05,2016-08-13,100,10,10,10,10,10,9,0.09
131,34300224,1,2017-04-16,2017-04-16,100,10,10,10,10,10,10,1.0
132,1010613,2,2016-08-10,2016-08-21,100,10,10,10,10,10,10,0.22
133,122699346,1,2017-04-02,2017-04-15,100,10,10,10,10,8,10,0.94
134,6151105,11,2016-02-15,2017-03-12,100,10,10,10,10,10,10,0.74
135,88561656,16,2016-10-19,2017-04-30,100,10,10,10,10,10,10,2.44
136,7182808,38,2016-01-17,2017-04-18,86,9,7,9,10,9,9,2.41
137,33989792,2,2016-10-20,2017-02-03,100,10,10,10,10,10,10,0.31
138,67477079,0,,,,,,,,,,
139,13039845,4,2016-09-30,2017-02-23,100,10,10,10,10,10,10,0.56
140,8442997,0,,,,,,,,,,
141,60057,2,2016-08-16,2016-10-26,100,10,10,10,10,10,10,0.23
142,1030745,208,2012-01-19,2017-04-24,96,10,9,10,10,9,10,3.23
143,465624,56,2011-08-26,2017-04-25,85,8,8,9,9,9,8,0.81
144,119843308,1,2017-03-26,2017-03-26,80,10,8,10,10,10,8,0.77
145,35308112,103,2015-09-24,2017-04-09,95,10,10,10,10,10,10,5.26
146,502882,0,,,,,,,,,,
147,94577113,0,,,,,,,,,,
148,57581615,0,,,,,,,,,,
149,39528519,5,2015-09-15,2017-02-11,100,10,10,10,10,10,10,0.25
150,262696,121,2010-11-14,2016-10-03,97,10,10,10,10,10,10,1.54
151,6121136,47,2015-02-10,2017-04-09,98,10,10,10,10,10,10,1.73
152,35244528,2,2015-07-12,2016-01-08,80,9,7,8,10,10,8,0.09
153,9165888,10,2015-08-09,2017-04-10,88,9,9,10,10,9,10,0.47
154,21862842,18,2016-01-13,2016-10-05,98,10,10,10,10,10,10,1.13
155,11978797,0,,,,,,,,,,
156,11028275,16,2014-11-25,2016-10-09,89,9,9,10,10,9,9,0.54
157,38610324,2,2016-06-04,2016-06-14,100,10,10,10,10,10,10,0.18
158,6537884,1,2015-07-18,2015-07-18,100,,,,10,10,10,0.05
159,21940642,1,2016-11-30,2016-11-30,80,8,10,8,8,8,6,0.19
160,36069115,3,2017-04-04,2017-04-30,100,10,10,9,10,10,10,3.0
161,28891032,22,2016-08-27,2017-04-10,97,10,10,10,10,10,10,2.64
162,4051877,0,,,,,,,,,,
163,119784728,0,,,,,,,,,,
164,20868926,2,2016-09-06,2017-01-02,90,10,10,10,10,10,10,0.25
165,45312242,0,,,,,,,,,,
166,74386873,18,2016-09-24,2017-04-11,89,9,8,10,10,10,9,2.43
167,5566718,0,,,,,,,,,,
168,4488999,2,2015-07-19,2017-05-01,100,10,10,10,10,10,10,0.09
169,35762401,14,2015-07-11,2017-04-13,85,9,8,9,9,9,8,0.63
170,32295628,0,,,,,,,,,,
171,3967420,2,2016-08-01,2016-08-22,100,10,10,10,9,9,10,0.22
172,20590638,8,2017-03-20,2017-04-28,98,10,10,10,10,10,10,5.33
173,5582383,87,2015-01-31,2017-04-17,95,10,10,10,10,10,10,3.17
174,14766506,0,,,,,,,,,,
175,14560547,1,2016-07-18,2016-07-18,80,10,10,10,10,8,10,0.1
176,78557191,2,2016-07-22,2016-07-25,,,,,,,,0.21
177,4448629,3,2015-06-15,2015-07-20,93,10,9,9,9,10,9,0.13
178,61979706,1,2017-01-03,2017-01-03,100,10,10,10,10,10,10,0.25
179,50287939,24,2016-10-27,2017-04-25,93,9,10,10,10,10,10,3.81
180,53099207,0,,,,,,,,,,
181,7114236,28,2016-01-15,2016-12-16,98,10,10,10,10,9,10,1.77
182,44124201,2,2016-03-09,2016-03-24,90,9,10,9,10,10,10,0.14
183,35712882,69,2015-06-15,2017-04-23,93,10,9,10,10,9,9,3.0
184,17054148,145,2015-03-05,2017-04-30,99,10,10,10,10,10,10,5.5
185,10160618,7,2015-11-22,2017-03-09,91,9,9,10,9,9,9,0.4
186,50568317,10,2016-07-22,2017-04-18,86,9,8,9,10,9,9,1.05
187,7996624,31,2015-03-28,2017-04-09,99,10,10,10,10,10,10,1.21
188,14795131,1,2016-05-23,2016-05-23,100,10,10,10,10,10,10,0.09
189,53997138,0,,,,,,,,,,
190,26660499,0,,,,,,,,,,
191,80961628,4,2017-04-19,2017-04-30,95,10,10,10,10,9,9,4.0
192,119012327,21,2017-03-08,2017-04-28,97,10,10,10,10,10,10,11.05
193,6432920,22,2013-08-05,2016-07-29,94,10,10,10,10,10,9,0.48
194,51843892,2,2016-06-27,2016-10-02,100,10,10,10,10,10,10,0.19
195,4530864,0,,,,,,,,,,
196,3069669,2,2013-03-05,2014-12-27,90,8,9,9,10,10,7,0.04
197,34506667,40,2016-04-22,2017-04-10,82,8,8,9,8,9,8,3.18
198,15725425,4,2016-06-12,2016-08-05,90,10,10,10,10,10,10,0.37
199,14204407,20,2016-10-29,2017-04-18,97,10,10,10,10,10,10,3.21
200,9985550,2,2017-03-14,2017-04-24,100,10,10,10,10,10,10,1.18
201,3211667,37,2013-04-14,2017-04-14,89,9,9,10,9,9,9,0.75
202,107587090,21,2017-01-12,2017-04-18,90,9,9,10,10,9,9,5.63
203,59063330,0,,,,,,,,,,
204,31749741,3,2016-07-24,2016-08-02,100,10,10,10,10,10,10,0.32
205,13150643,18,2016-12-30,2017-04-30,100,10,10,10,10,10,10,4.32
206,23422877,116,2014-12-30,2017-04-06,91,9,9,10,9,10,9,4.06
207,123510139,0,,,,,,,,,,
208,19544020,2,2014-09-28,2014-10-20,100,10,10,10,9,10,10,0.06
209,40143943,35,2015-08-19,2017-05-01,97,10,9,10,10,10,9,1.68
210,11178527,2,2015-12-29,2016-07-24,80,8,7,8,9,10,9,0.12
211,29602639,0,,,,,,,,,,
212,76262280,6,2016-06-13,2017-01-04,100,10,10,10,10,10,10,0.55
213,42606156,17,2016-07-04,2017-04-16,92,10,10,10,10,8,9,1.68
214,21529783,5,2016-11-21,2017-03-26,100,10,10,10,10,10,10,0.91
215,40119108,2,2016-08-21,2016-08-27,90,10,10,10,10,9,9,0.23
216,4659840,6,2016-08-23,2016-12-22,97,10,10,10,10,10,10,0.71
217,20901286,0,,,,,,,,,,
218,1304475,0,,,,,,,,,,
219,6327715,1,2016-02-29,2016-02-29,80,10,8,10,10,8,10,0.07
220,21013529,84,2016-01-01,2017-04-13,92,10,10,10,10,9,10,5.15
221,55168084,2,2016-06-07,2016-11-19,100,10,10,10,10,10,10,0.18
222,34300224,0,,,,,,,,,,
223,76161778,3,2017-04-01,2017-04-30,93,10,10,10,10,10,10,2.73
224,6662450,7,2016-03-03,2016-12-15,100,10,10,10,10,10,10,0.49
225,9794560,64,2015-01-28,2017-04-16,100,10,10,10,10,10,10,2.32
226,13621311,9,2015-09-21,2016-12-20,93,9,8,10,10,10,9,0.46
227,34954723,2,2015-07-22,2015-09-29,100,9,9,10,10,10,10,0.09
228,9248134,0,,,,,,,,,,
229,2115205,1,2017-03-25,2017-03-25,100,10,10,10,10,10,10,0.75
230,133280,6,2017-02-17,2017-04-23,96,10,10,10,10,10,10,2.37
231,53640085,36,2016-08-12,2017-04-25,99,10,10,10,10,10,10,4.08
232,71011333,0,,,,,,,,,,
233,76398146,51,2016-09-02,2017-05-01,96,10,10,10,10,10,10,6.27
234,42432662,23,2016-06-11,2016-12-01,99,10,9,10,10,10,10,2.11
235,1937752,35,2014-12-01,2017-04-10,95,10,9,10,10,10,9,1.19
236,21049322,3,2017-03-17,2017-04-25,80,9,8,10,9,10,9,1.88
237,43626965,4,2015-10-24,2016-09-16,95,10,10,10,9,10,10,0.22
238,38278502,30,2015-08-02,2017-04-01,97,10,10,10,10,10,10,1.41
239,113937798,0,,,,,,,,,,
240,12812866,25,2016-12-03,2017-04-19,94,10,9,9,9,10,10,4.93
241,8289317,11,2014-06-18,2017-03-29,98,10,10,10,10,10,10,0.31
242,2120798,4,2016-09-14,2017-04-17,100,10,10,10,10,10,10,0.52
243,5726639,69,2015-03-21,2015-11-18,94,10,10,10,10,10,9,2.67
244,30311201,14,2016-08-31,2017-04-17,84,8,9,9,9,9,9,1.7
245,4705793,1,2017-03-26,2017-03-26,100,10,10,8,8,8,10,0.77
246,847346,1,2016-01-03,2016-01-03,100,10,10,10,10,10,10,0.06
247,8896045,30,2015-09-25,2017-04-15,99,10,10,10,10,10,10,1.53
248,2013772,6,2012-07-30,2015-11-05,100,10,10,10,10,10,10,0.1
249,48573281,95,2016-05-09,2017-04-26,90,9,9,10,10,9,9,7.92
250,13246272,0,,,,,,,,,,
251,6121136,2,2016-11-20,2017-03-31,90,9,8,10,10,10,8,0.36
252,62891798,0,,,,,,,,,,
253,32047340,4,2016-11-06,2017-04-01,95,10,10,10,10,10,9,0.67
254,1763193,27,2012-06-24,2017-03-31,96,9,10,10,10,10,9,0.46
255,31533086,55,2016-05-06,2017-04-23,91,10,9,10,10,8,9,4.55
256,40095109,59,2015-10-26,2017-03-26,98,10,10,10,10,10,10,3.18
257,55130296,0,,,,,,,,,,
258,107529971,0,,,,,,,,,,
259,1418622,28,2014-09-17,2017-03-12,83,9,7,9,9,10,9,0.88
260,47211602,0,,,,,,,,,,
261,87636945,1,2017-03-27,2017-03-27,80,8,10,10,10,10,10,0.79
262,70979452,2,2016-09-20,2017-03-27,100,10,10,10,10,10,10,0.27
263,37625152,0,,,,,,,,,,
264,53656760,30,2016-09-18,2017-04-19,99,10,10,10,10,9,10,3.95
265,3903741,1,2016-07-12,2016-07-12,100,10,10,10,10,10,10,0.1
266,9511316,0,,,,,,,,,,
267,39528519,0,,,,,,,,,,
268,125869180,1,2017-04-29,2017-04-29,100,10,10,10,10,10,10,1.0
269,9871566,13,2016-07-17,2017-04-02,94,10,9,10,10,10,9,1.34
270,20746443,2,2016-04-14,2016-08-15,100,10,10,10,10,10,10,0.16
271,67819703,0,,,,,,,,,,
272,12089464,0,,,,,,,,,,
273,120323248,0,,,,,,,,,,
274,70084231,13,2016-05-23,2016-08-15,98,10,10,10,10,10,10,1.13
275,59759209,10,2016-05-11,2017-04-06,92,9,9,10,10,9,9,0.84
276,23389136,163,2015-08-28,2017-04-17,90,9,9,10,10,10,9,7.95
277,19696854,0,,,,,,,,,,
278,17194608,19,2016-02-16,2017-03-30,99,10,9,10,10,10,10,1.29
279,12953845,32,2014-03-24,2016-08-09,97,10,9,10,10,10,10,0.84
280,64319430,44,2016-08-23,2017-05-01,93,9,10,10,10,10,9,5.2
281,9954475,57,2016-04-21,2017-04-29,96,10,10,10,10,10,9,4.52
282,13856090,1,2017-03-27,2017-03-27,100,10,10,10,10,8,10,0.79
283,55067641,14,2017-02-04,2017-04-08,84,9,10,10,9,10,9,4.72
284,103155204,5,2017-04-12,2017-04-27,88,10,10,10,10,10,10,5.0
285,100985891,1,2017-03-15,2017-03-15,80,8,8,8,8,6,8,0.6
286,33946462,2,2016-07-24,2016-08-15,100,10,10,10,10,10,8,0.21
287,16795424,0,,,,,,,,,,
288,1374966,4,2016-02-14,2016-03-28,100,10,10,10,10,10,10,0.27
289,11027071,0,,,,,,,,,,
290,90459103,17,2016-09-03,2017-04-30,98,10,10,10,10,10,10,2.1
291,12247975,20,2017-03-03,2017-04-24,96,10,10,10,10,9,10,9.84
292,763777,1,2016-08-22,2016-08-22,,,,,,,,0.12
293,23133031,72,2015-06-18,2017-04-20,96,10,10,10,10,10,10,3.15
294,42844361,0,,,,,,,,,,
295,19303446,73,2014-08-20,2017-04-29,99,10,10,10,10,10,10,2.22
296,11580312,18,2015-07-24,2016-09-21,89,9,9,9,9,9,9,0.83
297,198075,0,,,,,,,,,,
298,6197767,45,2013-07-21,2017-03-28,94,9,9,10,10,10,10,0.98
299,3537928,8,2015-07-16,2016-09-18,90,10,10,10,10,9,9,0.36
300,37688337,4,2016-11-03,2016-11-22,100,10,10,10,10,10,10,0.66
301,9031634,55,2015-06-20,2017-04-26,89,9,9,10,10,9,9,2.41
302,19009196,160,2014-10-28,2017-05-02,84,9,8,9,9,9,9,5.22
303,37173481,14,2015-07-19,2017-04-12,98,9,10,10,10,10,10,0.64
304,26543758,1,2016-08-26,2016-08-26,80,8,10,10,6,8,8,0.12
305,32103382,0,,,,,,,,,,
306,119131148,13,2017-03-17,2017-04-28,95,10,9,10,10,10,10,8.13
307,109979600,0,,,,,,,,,,
308,64199212,9,2016-08-22,2017-01-26,98,10,10,10,10,10,10,1.06
309,50488861,0,,,,,,,,,,
310,21062115,0,,,,,,,,,,
311,16440070,2,2016-01-05,2016-01-16,90,10,10,10,10,10,10,0.12
312,58481702,18,2016-05-19,2017-03-27,83,9,8,8,9,9,9,1.54
313,523903,3,2011-10-24,2016-01-02,87,9,8,9,9,9,9,0.04
314,59372241,0,,,,,,,,,,
315,6793558,11,2014-08-03,2017-03-08,76,9,7,8,8,6,8,0.33
316,62848087,23,2016-12-10,2017-04-23,96,10,10,10,10,10,10,4.76
317,122267658,0,,,,,,,,,,
318,98822405,1,2016-10-28,2016-10-28,40,6,6,4,8,8,6,0.16
319,9370566,1,2014-05-30,2014-05-30,100,10,10,10,10,10,10,0.03
320,26860,73,2015-04-27,2017-02-05,90,9,9,9,9,9,9,2.97
321,4373660,27,2013-03-29,2016-11-11,99,10,10,10,10,10,10,0.54
322,9507500,39,2014-06-03,2017-03-19,98,10,10,10,10,10,10,1.1
323,5612388,92,2015-03-22,2017-03-27,99,10,10,10,10,10,10,3.57
324,58765260,0,,,,,,,,,,
325,23468837,64,2016-03-13,2017-04-19,95,10,10,10,10,9,10,4.6
326,31096061,0,,,,,,,,,,
327,20084023,18,2014-08-24,2016-10-17,96,10,10,10,10,10,9,0.55
328,29418545,2,2015-09-04,2015-10-27,90,10,10,10,10,8,9,0.1
329,106242299,1,2017-03-31,2017-04-01,100,10,10,10,10,10,10,0.88
330,3521693,7,2016-11-04,2017-04-16,97,10,10,10,10,10,10,1.16
331,34748161,0,,,,,,,,,,
332,21940642,4,2016-08-09,2016-11-04,95,9,9,9,10,9,10,0.45
333,19210582,0,,,,,,,,,,
334,76769856,4,2016-12-11,2017-01-10,100,10,9,10,9,9,10,0.84
335,92523713,0,,,,,,,,,,
336,103735469,1,2017-03-30,2017-03-30,100,10,2,10,10,10,10,0.86
337,14503973,0,,,,,,,,,,
338,109399044,2,2017-02-12,2017-03-17,100,10,10,10,10,8,9,0.74
339,19485106,0,,,,,,,,,,
340,20873551,3,2015-06-17,2015-06-29,100,10,10,9,10,10,9,0.13
341,15906256,0,,,,,,,,,,
342,12997136,16,2015-01-02,2016-08-08,90,10,9,9,9,10,9,0.56
343,52136082,0,,,,,,,,,,
344,10532909,3,2016-01-03,2016-05-04,60,7,5,7,5,9,6,0.18
345,8851608,19,2015-06-17,2017-04-14,98,10,9,10,10,10,10,0.83
346,62037740,14,2016-04-20,2017-03-12,97,10,10,10,10,10,10,1.11
347,116429949,7,2017-02-26,2017-04-24,77,9,8,10,10,10,8,3.18
348,69428463,107,2016-06-05,2017-04-30,97,10,10,10,10,9,10,9.64
349,1378320,2,2017-02-09,2017-02-19,100,10,10,10,10,10,10,0.71
350,15055244,8,2015-01-04,2017-02-20,98,10,10,10,10,10,10,0.28
351,2569016,49,2013-07-31,2017-03-27,83,8,8,9,9,9,8,1.07
352,34866937,0,,,,,,,,,,
353,11364720,1,2014-11-15,2014-11-15,100,10,10,10,10,10,10,0.03
354,4408146,6,2013-01-02,2016-08-06,97,10,10,10,10,10,9,0.11
355,43955786,11,2016-06-08,2017-02-03,87,9,9,9,9,10,9,1.0
356,42941446,1,2016-09-05,2016-09-05,100,10,10,10,10,10,10,0.12
357,35890073,0,,,,,,,,,,
358,73239037,22,2016-06-18,2017-04-23,92,9,9,10,10,9,9,2.06
359,53487046,0,,,,,,,,,,
360,30515217,14,2016-08-29,2017-04-21,97,10,10,10,10,10,10,1.69
361,77546261,0,,,,,,,,,,
362,70557251,3,2016-05-16,2016-06-06,93,10,10,9,10,10,10,0.25
363,22178957,1,2017-04-02,2017-04-02,,,,,,,,0.94
364,32224814,78,2015-11-21,2017-04-18,96,10,10,10,10,10,10,4.42
365,35242887,124,2015-12-23,2017-04-27,89,9,10,10,10,10,9,7.47
366,665627,0,,,,,,,,,,
367,61388765,1,2017-03-28,2017-03-28,100,10,10,10,10,10,10,0.81
368,27269245,5,2015-02-11,2016-11-19,100,10,10,10,10,10,10,0.18
369,16862571,4,2017-04-09,2017-04-27,95,9,10,10,9,9,10,4.0
370,199081,7,2017-02-26,2017-04-24,97,10,10,10,10,10,10,3.13
371,38987205,12,2016-09-01,2017-04-17,95,10,9,10,10,10,9,1.47
372,100088112,35,2016-12-13,2017-05-01,99,10,10,10,10,10,10,7.39
373,9149835,60,2015-12-30,2017-03-25,99,10,10,10,10,10,10,3.67
374,110012112,0,,,,,,,,,,
375,35407381,25,2015-06-28,2016-07-25,95,10,10,10,10,10,9,1.11
376,840823,85,2013-11-19,2016-10-23,96,10,10,10,10,10,10,2.02
377,87865205,2,2017-03-25,2017-03-28,60,6,7,6,10,9,6,1.5
378,2934582,0,,,,,,,,,,
379,13869776,6,2016-05-30,2017-04-14,96,10,9,10,10,10,10,0.53
380,37933862,0,,,,,,,,,,
381,11347497,1,2017-01-29,2017-01-29,80,10,10,10,10,10,8,0.32
382,123087,17,2014-02-13,2017-01-04,98,10,10,10,10,10,10,0.43
383,13616152,1,2015-04-27,2015-04-27,80,4,4,4,6,10,8,0.04
384,106433562,25,2016-12-08,2017-04-29,95,10,9,10,10,10,10,5.1
385,25405533,90,2015-02-07,2017-04-14,95,10,10,10,10,10,10,3.3
386,4482180,20,2016-04-25,2017-04-25,96,10,9,10,10,10,10,1.6
387,11734861,63,2014-03-01,2017-05-01,100,10,10,10,10,10,10,1.63
388,36902559,0,,,,,,,,,,
389,46954511,5,2015-12-01,2017-01-07,100,10,10,10,10,10,10,0.29
390,2374446,1,2013-09-09,2013-09-09,100,10,10,10,10,6,8,0.02
391,1602033,3,2016-06-25,2016-09-01,100,10,9,10,10,10,10,0.29
