host_id,host_name,host_since,host_location,host_response_time,host_response_rate,host_is_superhost,host_neighbourhood,host_total_listings_count,host_listings_in_sample,host_verifications,host_has_profile_pic,host_identity_verified
39754,Jareiq,2009-09-19,"London, United Kindom",within an hour,100.0,True,Beverly Hills,1.0,1,"['email', 'phone', 'facebook', 'reviews', 'jumio']",True,True
40532,Jake,2009-09-22,"Long Beach, California, United States",within a few hours,100.0,True,Long Beach,1.0,1,"['email', 'phone', 'facebook', 'google', 'linkedin', 'reviews', 'jumio', 'government_id', 'work_email']",True,True
42220,Searockinn,2009-09-29,"Los Angeles, California, United States",within an hour,100.0,False,Gardena,2.0,2,"['email', 'phone', 'reviews']",True,False
42571,Su&Sa,2009-10-01,US,within a few hours,100.0,False,Hollywood Hills,1.0,1,"['email', 'phone', 'reviews', 'jumio']",True,True
42962,Myriah,2009-10-02,"Los Angeles, California, United States",,,False,Hollywood,1.0,1,"['email', 'phone', 'reviews', 'kba']",True,True
47037,Lori,2009-10-20,"Los Angeles, California, United States",,,False,Mar Vista,1.0,1,"['email', 'phone', 'facebook', 'reviews', 'kba']",True,True
48725,FromKtown,2009-10-28,"Los Angeles, California, United States",within an hour,100.0,True,Mid-Wilshire,2.0,1,"['email', 'phone', 'reviews', 'jumio']",True,True
48940,Meg,2009-10-28,"Los Angeles, California, United States",within a day,67.0,False,Westwood,1.0,1,"['email', 'phone', 'reviews', 'jumio', 'work_email']",True,True
49235,Nicole,2009-10-28,"Los Angeles, California, United States",,,False,Hollywood,1.0,1,"['phone', 'facebook', 'reviews']",True,False
49343,Kyra Anastasia,2009-10-28,"Los Angeles, California, United States",within an hour,100.0,True,Venice,3.0,1,"['email', 'phone', 'facebook', 'reviews', 'kba']",True,True
49765,Mike,2009-10-29,"Kilauea, Hawaii, United States",within a few hours,100.0,False,Huntington Beach,18.0,1,"['phone', 'facebook', 'reviews', 'jumio', 'work_email']",True,False
49771,Diane,2009-10-29,"Los Angeles, CA",within an hour,90.0,False,Silver Lake,1.0,1,"['email', 'phone', 'facebook', 'reviews', 'kba']",True,True
50229,Anna,2009-10-31,"Los Angeles, California, United States",within an hour,100.0,True,Hollywood,3.0,2,"['email', 'phone', 'facebook', 'reviews', 'jumio']",True,True
52751,Lauren,2009-11-09,"New York, New York, United States",within an hour,92.0,False,Meatpacking District,3.0,2,"['email', 'phone', 'reviews', 'kba']",True,True
56047,Karen,2009-11-20,"Los Angeles, California, United States",within a day,100.0,False,Elysian Valley,1.0,1,"['email', 'phone', 'reviews', 'kba']",True,True
57161,Jefferson,2009-11-24,"Los Angeles, California, United States",within a few hours,98.0,False,Arts District,22.0,9,"['email', 'phone', 'reviews', 'manual_offline']",True,True
58427,Jennifer,2009-11-29,"Santa Monica, California, United States",,,False,Santa Monica,1.0,1,"['email', 'phone', 'reviews', 'kba']",True,True
58823,Christopher & Paul,2009-11-30,"Los Angeles, California, United States",within a day,100.0,False,,1.0,1,"['email', 'phone', 'reviews', 'kba', 'work_email']",True,True
59621,Gabrielle,2009-12-03,"Los Angeles, California, United States",,,False,Mid-Wilshire,2.0,2,"['email', 'phone', 'facebook', 'reviews', 'kba']",True,True
60057,Georgia,2009-12-04,"Los Angeles, California, United States",within an hour,100.0,False,Valley Village,2.0,2,"['email', 'phone', 'facebook', 'reviews', 'jumio']",True,True
60473,Maddy,2009-12-06,"Los Angeles, California, United States",within an hour,100.0,True,Venice,1.0,1,"['email', 'phone', 'reviews', 'jumio', 'work_email']",True,True
60834,William,2009-12-07,"Los Angeles, California, United States",,,False,Hollywood Hills,1.0,1,['phone'],True,False
62948,Brandon,2009-12-14,"Redwood City, California, United States",within an hour,100.0,True,,1.0,1,"['email', 'phone', 'facebook', 'amex', 'reviews', 'kba']",True,True
68433,Mel,2010-01-07,"Los Angeles, California, United States",within an hour,100.0,False,Mid-Wilshire,2.0,1,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'government_id']",True,True
70344,Duke & Van,2010-01-13,"Los Angeles, California, United States",within an hour,100.0,False,West Hollywood,10.0,4,"['email', 'phone', 'reviews', 'jumio']",True,True
70681,Clark,2010-01-15,"Los Angeles, California, United States",within an hour,100.0,True,West Hollywood,6.0,2,"['email', 'phone', 'facebook', 'reviews']",True,False
72933,Christine,2010-01-23,"Long Beach, California, United States",within a few hours,100.0,True,Long Beach,1.0,1,"['email', 'phone', 'reviews', 'jumio']",True,True
75052,Janet,2010-01-29,"Los Angeles, California, United States",within an hour,100.0,True,Silver Lake,2.0,1,"['email', 'phone', 'facebook', 'reviews', 'kba']",True,True
79123,Nicole,2010-02-08,"Los Angeles, California, United States",within a few hours,100.0,True,Hollywood,2.0,1,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'work_email']",True,True
79697,Shay,2010-02-10,"Los Angeles, California, United States",within a day,100.0,False,Hollywood,2.0,2,"['email', 'phone', 'reviews', 'kba', 'work_email']",True,True
82452,Ghazal,2010-02-18,"Los Angeles, California, United States",within a few hours,100.0,False,Silver Lake,1.0,1,"['email', 'phone', 'facebook', 'reviews', 'kba']",True,True
84139,Jennifer,2010-02-22,"Los Angeles, California, United States",within a few hours,100.0,False,North Hollywood,1.0,1,"['email', 'phone', 'facebook', 'reviews', 'kba']",True,True
87328,Danielle,2010-03-02,"New York, New York, United States",a few days or more,33.0,False,West Hollywood,1.0,1,"['email', 'phone', 'facebook', 'reviews', 'kba']",True,True
90686,Patrick,2010-03-10,"Los Angeles, California, United States",within an hour,100.0,False,Hollywood,1.0,1,"['email', 'phone', 'reviews', 'kba']",True,True
91121,Jaclyn,2010-03-10,"Los Angeles, California, United States",within a few hours,100.0,False,Santa Monica,1.0,1,"['email', 'phone', 'reviews', 'jumio']",True,True
91136,Debbie,2010-03-11,"Los Angeles, California, United States",within an hour,98.0,False,West Hollywood,12.0,3,"['email', 'phone', 'reviews', 'kba']",True,True
91335,David,2010-03-11,"Los Angeles, California, United States",within an hour,100.0,False,Silver Lake,1.0,1,"['email', 'phone', 'reviews']",True,False
91456,Allinson Kenneth,2010-03-11,"Los Angeles, California, United States",within an hour,100.0,True,Mid-Wilshire,1.0,1,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'work_email']",True,True
92220,Kelly,2010-03-13,"Santa Monica, California, United States",,,False,Glendale,1.0,1,"['phone', 'facebook', 'reviews']",True,False
93024,Farhad,2010-03-14,"Los Angeles, California, United States",,,False,West Los Angeles,1.0,1,"['email', 'phone', 'reviews', 'kba', 'work_email']",True,True
94718,Agatha,2010-03-16,"West Hollywood, California, United States",,,False,West Hollywood,1.0,1,"['email', 'phone', 'reviews', 'kba']",True,True
95057,Paula,2010-03-17,"Santa Monica, California, United States",within a day,100.0,True,Valley Glen,3.0,2,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'work_email']",True,True
95286,Johnathon,2010-03-17,"Los Angeles, California, United States",within a few hours,100.0,False,Venice,4.0,3,"['email', 'phone', 'facebook', 'reviews', 'jumio']",True,True
95543,Modern,2010-03-18,"Los Angeles, California, United States",within an hour,100.0,False,Venice,7.0,4,"['email', 'phone', 'reviews', 'jumio']",True,True
95583,Ethlie,2010-03-18,US,within an hour,100.0,False,Laurel Canyon,2.0,1,"['email', 'phone', 'reviews', 'jumio', 'kba']",True,True
95850,Alicia,2010-03-19,"Los Angeles, California, United States",within an hour,100.0,False,Echo Park,3.0,1,"['email', 'phone', 'facebook', 'reviews', 'jumio']",True,True
96147,Michaela,2010-03-19,"Los Angeles, California, United States",within a day,80.0,False,Venice,1.0,1,"['email', 'phone', 'reviews', 'kba']",True,True
98565,Zara,2010-03-24,"Los Angeles, California, United States",,,False,Mount Washington,1.0,1,"['email', 'phone', 'reviews']",True,False
100496,Mike & Kim,2010-03-29,"Los Angeles, California, United States",within a few hours,100.0,False,Glassell Park,1.0,1,"['email', 'phone', 'facebook', 'reviews', 'kba']",True,True
101454,Hilary,2010-03-31,"Los Angeles, California, United States",a few days or more,40.0,False,,1.0,1,"['email', 'phone', 'facebook', 'reviews', 'jumio']",True,True
106709,Nicole & Jacob,2010-04-11,"Torrance, California, United States",within a day,100.0,False,Torrance,1.0,1,"['email', 'phone', 'reviews', 'kba']",True,True
107275,Janice,2010-04-12,"Los Angeles, California, United States",within an hour,100.0,False,,8.0,3,"['email', 'phone', 'reviews', 'jumio', 'government_id']",True,True
107382,Jeff,2010-04-12,"Los Angeles, California, United States",within an hour,100.0,False,Eagle Rock,2.0,1,"['email', 'phone', 'facebook', 'reviews', 'kba']",True,True
107473,Claudia,2010-04-12,"Los Angeles, California, United States",within a few hours,93.0,False,Mid-Wilshire,1.0,1,"['email', 'phone', 'facebook', 'reviews', 'kba']",True,True
110021,Noemi,2010-04-18,"Los Angeles, California, United States",within an hour,100.0,False,Long Beach,1.0,1,"['email', 'phone', 'reviews', 'kba', 'work_email']",True,True
110445,Megan,2010-04-18,"Los Angeles, California, United States",within an hour,100.0,False,,1.0,1,"['email', 'phone', 'reviews', 'kba', 'work_email']",True,True
110644,Anders Lykke,2010-04-19,"Los Angeles, California, United States",within a day,70.0,False,Hollywood,2.0,1,"['email', 'phone', 'reviews', 'jumio']",True,True
110845,Juan,2010-04-19,"Los Angeles, California, United States",within a few hours,100.0,False,Venice,1.0,1,"['email', 'phone', 'reviews', 'kba']",True,True
113624,Jennifer,2010-04-25,"Los Angeles, California, United States",,,False,South Pasadena,1.0,1,"['email', 'phone']",True,False
117841,Robyn,2010-05-03,"Los Angeles, California, United States",within an hour,100.0,False,Hollywood Hills,2.0,2,"['email', 'phone', 'reviews', 'kba']",True,True
122986,Rashi,2010-05-11,"Los Angeles, California, United States",within a few hours,87.0,False,Pacific Palisades,2.0,2,"['email', 'phone', 'reviews', 'kba']",True,True
123010,Kathleen & Richard,2010-05-12,"Los Angeles, California, United States",within an hour,100.0,False,Venice,1.0,1,"['email', 'phone', 'reviews', 'kba']",True,True
123087,Leslie,2010-05-12,"Santa Monica, California, United States",within an hour,100.0,True,Venice,4.0,2,"['email', 'phone', 'reviews', 'jumio']",True,True
123295,Chau,2010-05-12,"Los Angeles, California, United States",,,False,Eagle Rock,2.0,1,"['email', 'phone', 'reviews', 'kba']",True,True
127369,Shereen,2010-05-18,"Los Angeles, California, United States",within an hour,97.0,True,Venice,9.0,1,"['email', 'phone', 'facebook', 'reviews', 'kba']",True,True
127815,Jenny & Otis,2010-05-19,"Los Angeles, California, United States",within a few hours,100.0,False,Mid-City,5.0,1,"['phone', 'reviews', 'jumio']",True,False
129166,CiCi,2010-05-21,"Los Angeles, California, United States",within a few hours,88.0,False,Sherman Oaks,2.0,2,"['email', 'phone', 'facebook', 'reviews', 'kba', 'work_email']",True,True
130598,Anna & Maciek,2010-05-23,"Redondo Beach, California, United States",within an hour,100.0,True,Redondo Beach,1.0,1,"['email', 'phone', 'reviews', 'jumio']",True,True
133280,Diego,2010-05-27,"Los Angeles, California, United States",within a few hours,100.0,False,Redondo Beach,1.0,1,"['email', 'phone', 'reviews', 'jumio', 'work_email']",True,True
135304,David,2010-05-30,"Los Angeles, California, United States",,,False,Highland Park,1.0,1,"['email', 'phone', 'facebook', 'reviews', 'kba', 'work_email']",True,True
135355,Mark,2010-05-30,"Los Angeles, California, United States",,,False,Atwater Village,1.0,1,"['email', 'phone', 'reviews']",True,False
135508,Fred And Emily,2010-05-31,"Los Angeles, California, United States",,,False,West Hollywood,1.0,1,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'work_email']",True,True
137490,Jk,2010-06-03,"Los Angeles, California, United States",within an hour,100.0,False,,4.0,2,"['email', 'phone', 'reviews', 'jumio']",True,True
137990,Kiki'S,2010-06-03,"Los Angeles, California, United States",within an hour,100.0,False,Mar Vista,9.0,3,"['email', 'phone', 'reviews', 'kba']",True,True
142776,Spencer,2010-06-11,"Los Angeles, California, United States",within an hour,100.0,True,Culver City,3.0,1,"['email', 'phone', 'facebook', 'reviews', 'kba']",True,True
143757,Liz,2010-06-13,"Los Angeles, California, United States",within a few hours,100.0,False,Echo Park,2.0,1,"['email', 'phone', 'reviews', 'kba']",True,True
144855,Edwin Diego,2010-06-15,"Los Angeles, California, United States",within an hour,100.0,True,Eagle Rock,4.0,1,"['email', 'phone', 'facebook', 'reviews', 'jumio']",True,True
146138,Victor,2010-06-16,"Pasadena, California, United States",,,False,Pasadena,1.0,1,"['email', 'phone', 'facebook']",True,False
147962,Joel,2010-06-19,"Los Angeles, California, United States",within an hour,100.0,False,Mar Vista,1.0,1,"['email', 'phone', 'reviews', 'kba']",True,True
148426,Sara,2010-06-20,"Los Angeles, California, United States",within a day,100.0,False,Hollywood Hills,1.0,1,"['email', 'phone', 'facebook', 'reviews', 'kba']",True,True
149525,Sara,2010-06-21,"Los Angeles, California, United States",,,False,West Los Angeles,1.0,1,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'government_id']",True,True
154037,Josh,2010-06-28,"Los Angeles, California, United States",within an hour,100.0,False,Venice,2.0,2,"['email', 'phone', 'facebook', 'amex', 'reviews', 'kba', 'work_email']",True,True
158836,Ly Thuy,2010-07-05,"Los Angeles, California, United States",,,False,,1.0,1,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'selfie', 'government_id', 'identity_manual']",True,True
159513,Mariana,2010-07-06,"Los Angeles, California, United States",within a few hours,100.0,False,Atwater Village,1.0,1,"['email', 'phone', 'facebook', 'reviews', 'kba']",True,True
159886,Lois,2010-07-06,"Los Angeles, California, United States",within an hour,100.0,False,Torrance,4.0,2,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'government_id']",True,True
161042,Hellen,2010-07-08,"Los Angeles, California, United States",within an hour,100.0,False,Echo Park,4.0,2,"['email', 'phone', 'facebook', 'reviews', 'kba']",True,True
162557,Veronica,2010-07-10,"Los Angeles, California, United States",within a day,89.0,False,West Los Angeles,1.0,1,"['email', 'phone', 'reviews', 'jumio']",True,True
166089,Dragan,2010-07-13,"Los Angeles, California, United States",within an hour,96.0,False,Venice,4.0,1,"['email', 'phone', 'facebook', 'reviews', 'kba']",True,True
171168,Anita,2010-07-18,"Los Angeles, California, United States",within a day,100.0,False,Mar Vista,2.0,1,"['email', 'phone', 'facebook', 'reviews', 'kba']",True,True
172788,Lauren,2010-07-19,"Los Angeles, California, United States",within a few hours,78.0,False,Beverly Hills,2.0,1,"['email', 'phone', 'facebook']",True,False
173375,Lisa,2010-07-19,"Los Angeles, California, United States",within a day,80.0,True,Studio City,6.0,1,"['email', 'phone', 'reviews', 'kba']",True,True
173673,Paul,2010-07-19,"Los Angeles, California, United States",within an hour,100.0,False,,1.0,1,"['email', 'phone', 'facebook']",True,False
173679,Briana,2010-07-19,"Pasadena, California, United States",within an hour,100.0,True,,1.0,1,"['email', 'phone', 'reviews', 'kba']",True,True
176905,Hans,2010-07-21,"Los Angeles, California, United States",,,False,Mar Vista,2.0,1,"['email', 'phone', 'reviews', 'kba']",True,True
179142,Juliet,2010-07-24,"Los Angeles, California, United States",within a few hours,100.0,True,Silver Lake,1.0,1,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'government_id']",True,True
179618,Paul,2010-07-24,US,within an hour,100.0,False,,1.0,1,"['email', 'phone', 'facebook', 'reviews', 'kba']",True,True
182785,Shara,2010-07-27,"Los Angeles, California, United States",a few days or more,0.0,False,Venice,1.0,1,"['email', 'phone', 'facebook', 'reviews', 'kba']",True,True
185101,Kirsten,2010-07-29,"Los Angeles, California, United States",,,False,,1.0,1,"['email', 'phone', 'reviews', 'jumio', 'government_id']",True,True
187286,Helen,2010-07-31,"Los Angeles, California, United States",within a few hours,100.0,True,West Hollywood,1.0,1,"['email', 'phone', 'reviews', 'kba']",True,True
188765,Anita,2010-08-02,"BALI, INDONESIA",within an hour,93.0,False,Canggu,6.0,1,"['email', 'phone', 'reviews', 'jumio']",True,True
190703,Jocelyn,2010-08-03,"Los Angeles, California, United States",within a day,90.0,False,,3.0,1,"['email', 'phone', 'reviews']",True,False
190861,Mikey,2010-08-04,"Los Angeles, California, United States",within a few hours,100.0,False,Valley Village,1.0,1,"['email', 'phone', 'facebook', 'reviews', 'jumio']",True,True
191460,Jeffrey,2010-08-04,"Los Angeles, California, United States",within an hour,100.0,True,Silver Lake,3.0,1,"['email', 'phone', 'reviews', 'jumio', 'government_id']",True,True
195697,Andy,2010-08-08,"Lynwood, California, United States",within a few hours,100.0,False,Lynwood,8.0,1,"['email', 'phone', 'reviews', 'jumio']",True,True
196851,Al,2010-08-09,"Los Angeles, California, United States",within a few hours,100.0,True,Downtown,3.0,1,"['email', 'phone', 'facebook', 'reviews', 'kba']",True,True
198075,Patrick,2010-08-11,"Los Angeles, California, United States",within a day,50.0,False,Encino,20.0,2,"['email', 'phone', 'facebook', 'reviews', 'jumio']",True,True
198567,Darren,2010-08-11,"Los Angeles, California, United States",within a few hours,100.0,False,Santa Monica,1.0,1,"['email', 'phone', 'reviews', 'jumio']",True,True
199081,Ben,2010-08-12,"Los Angeles, California, United States",within an hour,95.0,False,Venice,1.0,1,"['email', 'phone', 'google', 'linkedin', 'reviews', 'kba']",True,True
200159,Narciso,2010-08-13,"Los Angeles, California, United States",,,False,Mid-Wilshire,1.0,1,"['email', 'phone', 'reviews', 'jumio']",True,True
200883,Mary Ann,2010-08-13,"Santa Monica, California, United States",within a few hours,100.0,False,Santa Monica,3.0,1,"['email', 'phone', 'reviews', 'kba']",True,True
201467,Robin,2010-08-14,"Camarillo, California, United States",within an hour,100.0,True,Silver Lake,5.0,1,"['email', 'phone', 'reviews', 'kba', 'work_email']",True,True
202154,Mirjam,2010-08-15,"West Hollywood, California, United States",within a few hours,100.0,True,West Hollywood,2.0,1,"['email', 'phone', 'facebook', 'reviews', 'kba']",True,True
202624,Stephen,2010-08-16,"St Louis, Missouri, United States",,,False,Hollywood,1.0,1,"['phone', 'facebook']",True,False
203732,Mike,2010-08-17,"Los Angeles, California, United States",within an hour,100.0,False,Hollywood Hills,1.0,1,"['email', 'phone', 'facebook', 'amex', 'reviews', 'kba']",True,True
211786,Judith & Marc,2010-08-24,"Los Angeles, California, United States",within a few hours,100.0,False,Hollywood Hills,3.0,1,"['email', 'phone', 'reviews', 'kba', 'work_email']",True,True
213865,Rebecca,2010-08-26,"Los Angeles, California, United States",within an hour,100.0,False,Venice,5.0,1,"['email', 'phone', 'facebook', 'reviews', 'jumio']",True,True
214752,Jason,2010-08-27,"Los Angeles, California, United States",within an hour,100.0,False,Mount Washington,1.0,1,"['email', 'phone', 'reviews', 'kba']",True,True
215462,Paul,2010-08-28,"Malibu, California, United States",within an hour,100.0,True,Malibu,5.0,3,"['email', 'phone', 'reviews', 'kba']",True,True
215706,Sasha,2010-08-28,"Los Angeles, California, United States",,,False,Culver City,1.0,1,"['phone', 'facebook', 'work_email']",True,False
215804,Jennifer,2010-08-28,"Topanga, California, United States",within an hour,100.0,True,Topanga,2.0,1,"['email', 'phone', 'facebook', 'reviews', 'kba']",True,True
216368,Morgan,2010-08-29,"Los Angeles, California, United States",,,False,Hermon,1.0,1,"['email', 'phone', 'facebook', 'reviews']",True,False
219283,Helena,2010-08-31,"Pasadena, California, United States",within a few hours,100.0,True,Altadena,12.0,4,"['email', 'phone', 'facebook', 'reviews', 'kba']",True,True
222063,Pamela,2010-09-03,"Los Angeles, California, United States",within an hour,100.0,True,Granada Hills North,1.0,1,"['email', 'phone', 'facebook', 'reviews']",True,False
226151,Samanta,2010-09-06,"Los Angeles, California, United States",within a few hours,90.0,False,Hollywood Hills,1.0,1,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'offline_government_id', 'government_id']",True,True
229455,Aubyn,2010-09-09,US,,,False,Mid-Wilshire,1.0,1,"['email', 'phone', 'reviews']",True,False
230864,Ben,2010-09-10,"Los Angeles, California, United States",within an hour,94.0,False,Hollywood Hills,8.0,1,"['email', 'phone', 'facebook', 'reviews', 'jumio']",True,True
232535,Montie,2010-09-12,"Park City, Utah, United States",within a day,100.0,True,Manhattan Beach,3.0,2,"['email', 'phone', 'reviews', 'kba']",True,True
232857,Dalya & Nils,2010-09-13,London,within an hour,100.0,False,Santa Monica,4.0,2,"['email', 'phone', 'facebook', 'linkedin', 'reviews', 'jumio']",True,True
233756,Michael,2010-09-13,"Pasadena, California, United States",within a few hours,100.0,False,Pasadena,2.0,2,"['email', 'phone', 'facebook', 'reviews', 'jumio']",True,True
233773,Steven,2010-09-13,"Los Angeles, California, United States",within a day,90.0,False,West Hollywood,1.0,1,"['email', 'phone', 'reviews', 'jumio']",True,True
235568,David,2010-09-15,"Los Angeles, California, United States",within an hour,100.0,False,Atwater Village,1.0,1,"['email', 'phone', 'facebook', 'reviews', 'jumio']",True,True
237932,Christine,2010-09-17,"Los Angeles, California, United States",within a day,67.0,False,,1.0,1,"['email', 'phone', 'facebook', 'reviews', 'jumio']",True,True
238553,Ryan And Jennifer,2010-09-18,"Los Angeles, California, United States",within an hour,100.0,True,Culver City,2.0,1,"['email', 'phone', 'facebook', 'reviews', 'kba']",True,True
239712,Silvio,2010-09-19,"Santa Monica, California, United States",within an hour,100.0,False,Santa Monica,8.0,1,"['email', 'phone', 'reviews', 'kba']",True,True
239802,Alexx,2010-09-20,"Los Angeles, California, United States",,,False,Los Feliz,1.0,1,"['email', 'phone', 'facebook', 'reviews', 'kba']",True,True
239829,Lauren,2010-09-20,"Los Angeles, California, United States",,,False,Greenpoint,2.0,1,"['email', 'phone', 'facebook', 'linkedin', 'amex', 'reviews', 'kba', 'work_email']",True,True
240594,Roger,2010-09-20,"Los Angeles, California, United States",,,False,Mid-Wilshire,1.0,1,"['email', 'phone', 'reviews', 'jumio']",True,True
243536,Crystal,2010-09-23,"West Hollywood, California, United States",,,False,West Hollywood,1.0,1,"['email', 'phone', 'facebook']",True,False
244186,Albert,2010-09-24,"Pasadena, California, United States",within a few hours,100.0,False,Pasadena,2.0,1,"['email', 'phone', 'reviews', 'jumio']",True,True
245280,Micah,2010-09-25,"Los Angeles, California, United States",within an hour,100.0,True,Beverly Hills,1.0,1,"['email', 'phone', 'reviews', 'kba']",True,True
246455,Shadman,2010-09-27,"Los Angeles, California, United States",within a few hours,67.0,False,Westside,1.0,1,"['email', 'phone', 'reviews', 'kba']",True,True
250886,Chris,2010-10-02,"Chicago, Illinois, United States",within an hour,100.0,True,South Robertson,2.0,1,"['email', 'phone', 'reviews', 'jumio', 'selfie', 'government_id', 'identity_manual']",True,True
255077,Rachel,2010-10-06,"Los Angeles, California, United States",,,False,West Hollywood,1.0,1,"['email', 'phone', 'reviews', 'kba']",True,True
256228,Molly,2010-10-08,"Los Angeles, California, United States",within an hour,100.0,True,Mid-Wilshire,3.0,1,"['email', 'phone', 'reviews', 'jumio']",True,True
257925,Yvonne,2010-10-10,"Los Angeles, California, United States",within a few hours,100.0,True,Venice,1.0,1,"['email', 'phone', 'reviews', 'kba']",True,True
260228,Christopher,2010-10-12,"Los Angeles, California, United States",within an hour,97.0,False,Marina Del Rey,7.0,3,"['email', 'facebook', 'reviews', 'kba']",True,False
261676,Rhoda,2010-10-14,"Los Angeles, California, United States",within a few hours,95.0,False,Venice,4.0,3,"['email', 'phone', 'reviews']",True,False
262220,Mark & Barbara,2010-10-14,"Los Angeles, California, United States",within an hour,100.0,True,Hollywood Hills,1.0,1,"['email', 'phone', 'reviews', 'jumio', 'kba', 'government_id', 'work_email']",True,True
262696,Kalina,2010-10-15,"Los Angeles, California, United States",within a day,100.0,False,Echo Park,1.0,1,"['email', 'phone', 'reviews', 'kba']",True,True
270233,Valerie,2010-10-25,"Long Beach, California, United States",within a few hours,100.0,False,Long Beach,3.0,1,"['email', 'phone', 'linkedin', 'kba']",True,True
