Host ID,Number of Reviews,First Review,Last Review,Overall Rating,Review Score,Accuracy,Cleanliness,Check-In,Communication,Location,Value,Reviews per Month,Category Average
767,1,2016-06-14,2016-12-30,80,High,10,10,10,10,10,8,0.09,9.666666666666666
3638697,9,2016-07-29,2017-04-06,98,Very High,10,10,10,10,10,10,0.97,10.0
12507557,81,2015-01-28,2017-04-09,96,Very High,10,10,10,10,9,9,2.94,9.666666666666666
2127973,24,2015-11-07,2017-04-16,95,Very High,10,9,10,10,10,10,1.32,9.833333333333334
35163508,1,2017-03-27,2017-03-27,80,High,8,10,10,10,10,10,0.79,9.666666666666666
9171,33,2009-08-31,2017-04-17,94,Very High,10,10,10,9,9,9,0.35,9.5
3941221,14,2015-06-20,2017-01-02,96,Very High,10,10,10,10,10,10,0.61,10.0
3685,21,2014-03-01,2017-02-24,96,Very High,9,9,10,10,10,9,0.54,9.5
65149660,4,2016-04-15,2016-06-05,100,Very High,10,10,10,10,10,10,0.31,10.0
7182808,9,2016-06-13,2017-04-15,85,Very High,9,8,10,10,10,9,0.83,9.333333333333334
2887127,2,2017-03-24,2017-04-19,100,Very High,10,10,10,10,10,10,1.46,10.0
101127126,1,2017-04-20,2017-04-20,80,High,10,6,10,10,6,8,1.0,8.333333333333334
11105778,97,2014-01-20,2017-04-28,93,Very High,10,10,10,10,10,9,2.43,9.833333333333334
89746190,3,2016-11-19,2017-02-01,87,Very High,9,9,9,9,10,9,0.54,9.166666666666666
1454964,2,2016-11-13,2017-03-10,90,Very High,8,9,9,8,9,9,0.35,8.666666666666666
26025871,1,2016-01-15,2016-01-15,60,Moderate,10,10,10,10,10,8,0.06,9.666666666666666
43812214,10,2016-03-24,2016-12-27,98,Very High,10,10,10,10,10,10,0.74,10.0
38250065,31,2016-10-12,2017-04-26,97,Very High,10,10,10,10,10,10,4.56,10.0
85312238,6,2017-03-06,2017-04-22,90,Very High,8,9,10,10,6,9,3.05,8.666666666666666
3379091,4,2013-09-30,2016-05-14,90,Very High,9,9,9,9,9,9,0.09,9.0
46333806,51,2015-10-12,2017-04-10,97,Very High,10,10,10,10,10,10,2.69,10.0
21372666,9,2016-01-10,2017-04-30,100,Very High,10,10,10,10,10,10,0.56,10.0
5437481,24,2016-08-08,2017-04-09,99,Very High,10,10,10,10,10,10,2.68,10.0
87867794,2,2016-08-09,2016-08-18,70,High,6,6,10,10,10,7,0.22,8.166666666666666
25759020,50,2016-05-02,2017-05-01,92,Very High,10,9,10,10,9,9,4.09,9.5
22022352,9,2016-06-18,2017-04-11,80,High,8,8,9,9,8,7,0.84,8.166666666666666
7992508,18,2013-11-03,2017-04-17,99,Very High,10,9,10,10,10,9,0.42,9.666666666666666
97303284,4,2017-02-14,2017-04-14,90,Very High,9,8,10,10,10,10,1.52,9.5
35524432,13,2016-06-24,2016-08-28,98,Very High,10,10,10,10,9,10,1.24,9.833333333333334
114360857,2,2017-02-12,2017-02-20,80,High,7,8,9,9,5,6,0.74,7.333333333333333
45324825,1,2017-04-10,2017-04-10,100,Very High,10,10,10,10,10,10,1.0,10.0
12807196,7,2016-09-12,2017-03-17,94,Very High,10,9,10,10,10,10,0.9,9.833333333333334
12227135,9,2017-03-02,2017-04-22,98,Very High,10,10,10,10,10,10,4.29,10.0
166089,61,2014-06-26,2017-04-30,89,Very High,9,9,9,10,10,9,1.75,9.333333333333334
66243566,1,2017-02-12,2017-02-12,100,Very High,10,10,10,10,10,10,0.37,10.0
2058419,3,2013-01-01,2015-09-10,100,Very High,10,10,10,10,10,10,0.06,10.0
63208372,2,2017-03-19,2017-04-02,100,Very High,10,10,10,10,10,10,1.3,10.0
12831142,6,2016-11-06,2017-04-26,100,Very High,10,10,10,10,10,10,1.01,10.0
5955579,37,2013-05-30,2017-03-28,99,Very High,10,10,10,10,10,9,0.77,9.833333333333334
690099,18,2016-08-03,2017-04-21,91,Very High,10,9,9,9,10,9,1.97,9.333333333333334
21304470,24,2015-05-27,2017-03-25,98,Very High,10,10,10,10,10,10,1.02,10.0
6457164,3,2015-08-17,2016-11-20,93,Very High,10,9,10,10,9,10,0.14,9.666666666666666
119012327,15,2017-03-10,2017-04-21,97,Very High,10,10,10,10,10,10,8.18,10.0
75052,200,2010-02-22,2017-05-01,97,Very High,10,10,10,10,10,9,2.28,9.833333333333334
55164533,2,2016-05-08,2017-03-12,100,Very High,10,10,10,10,10,8,0.17,9.666666666666666
25902066,4,2015-08-23,2016-09-05,100,Very High,10,10,10,10,10,9,0.19,9.833333333333334
4509643,4,2017-04-16,2017-04-27,100,Very High,10,10,10,10,10,10,4.0,10.0
54224577,5,2017-03-13,2017-04-01,100,Very High,10,10,10,10,10,10,2.88,10.0
92390530,22,2016-09-04,2017-01-09,86,Very High,9,8,9,10,9,9,2.73,9.0
30872820,17,2015-06-13,2017-04-09,91,Very High,10,8,10,10,10,9,0.74,9.5
48339015,2,2017-03-09,2017-03-12,100,Very High,10,10,10,10,10,10,1.07,10.0
90758261,8,2016-10-16,2017-02-20,95,Very High,10,10,10,9,9,9,1.2,9.5
16381957,2,2016-07-11,2016-08-08,100,Very High,10,8,10,10,10,10,0.2,9.666666666666666
15336919,15,2015-07-25,2017-02-06,83,High,8,9,9,9,9,8,0.69,8.666666666666666
13386202,6,2017-02-05,2017-04-15,87,Very High,9,8,9,9,9,8,2.05,8.666666666666666
4374692,13,2016-10-29,2017-03-29,100,Very High,10,10,10,10,10,10,2.09,10.0
10695276,1,2016-09-02,2016-09-02,100,Very High,10,10,6,10,8,8,0.12,8.666666666666666
20089599,346,2014-08-22,2017-04-17,95,Very High,9,10,9,10,10,9,10.53,9.5
50849425,1,2016-01-05,2016-01-05,80,High,10,8,10,10,10,10,0.06,9.666666666666666
60414489,17,2016-05-06,2017-03-14,91,Very High,9,10,9,10,9,9,1.4,9.333333333333334
35660072,3,2016-07-16,2016-08-04,60,Moderate,5,7,7,7,9,7,0.31,7.0
21664149,33,2014-11-04,2017-03-04,98,Very High,10,10,10,10,10,10,1.09,10.0
10651976,65,2016-03-05,2017-04-30,96,Very High,10,10,10,10,10,10,4.59,10.0
99502905,8,2016-10-16,2017-02-14,76,High,6,8,9,8,8,7,1.2,7.666666666666667
15223759,12,2014-10-12,2016-01-02,98,Very High,10,10,10,10,10,10,0.39,10.0
70344,20,2016-02-21,2016-11-06,93,Very High,10,10,10,10,10,10,1.37,10.0
24041211,1,2017-04-22,2017-04-22,100,Very High,10,10,10,10,10,10,1.0,10.0
50397645,11,2015-12-15,2016-08-28,94,Very High,9,8,10,10,10,9,0.65,9.333333333333334
24233754,1,2015-10-08,2015-10-08,,,,,,,,,0.05,
72568176,1,2017-02-15,2017-02-15,100,Very High,10,8,10,10,8,10,0.38,9.333333333333334
41771987,12,2015-09-22,2016-09-24,96,Very High,10,10,10,10,10,9,0.61,9.833333333333334
113111625,1,2017-03-05,2017-03-05,100,Very High,10,10,10,10,10,10,0.5,10.0
48086838,7,2017-01-29,2017-05-01,83,High,8,9,9,10,10,8,2.21,9.0
54270621,87,2016-03-06,2017-04-21,98,Very High,10,10,10,10,10,10,6.16,10.0
2155546,51,2013-12-26,2017-04-08,95,Very High,9,9,10,10,10,9,1.25,9.5
47331910,2,2016-03-13,2016-07-25,90,Very High,9,8,10,10,10,10,0.14,9.5
22171649,2,2016-02-28,2016-08-14,100,Very High,10,10,10,10,9,9,0.14,9.666666666666666
121359829,4,2017-03-26,2017-04-21,95,Very High,10,9,10,10,10,10,3.08,9.833333333333334
50832968,81,2016-07-20,2017-04-21,90,Very High,9,9,10,10,10,9,8.44,9.5
31008174,162,2015-05-01,2017-04-22,91,Very High,9,8,10,10,9,9,6.62,9.166666666666666
18429531,90,2015-01-23,2017-04-21,99,Very High,10,10,10,10,10,10,3.25,10.0
5469474,3,2016-06-14,2017-03-26,100,Very High,10,10,10,10,9,10,0.28,9.833333333333334
19110598,2,2016-10-20,2017-04-27,100,Very High,10,10,9,10,10,10,0.31,9.833333333333334
22697135,7,2014-10-31,2017-04-30,89,Very High,9,9,9,9,9,9,0.23,9.0
27559410,111,2015-03-24,2017-04-22,97,Very High,10,10,10,10,10,10,4.31,10.0
104316115,7,2016-12-28,2017-03-26,100,Very High,10,10,10,10,10,10,1.65,10.0
28595345,81,2016-07-10,2017-04-07,99,Very High,10,10,10,10,10,10,8.15,10.0
1717283,81,2012-02-27,2016-09-04,97,Very High,10,10,10,10,10,9,1.28,9.833333333333334
3097566,34,2013-06-19,2016-08-17,93,Very High,9,9,10,10,9,9,0.72,9.333333333333334
11428758,4,2017-01-17,2017-03-17,100,Very High,10,10,10,10,10,10,1.12,10.0
67380690,4,2016-08-01,2017-04-30,90,Very High,9,10,10,10,10,9,0.43,9.666666666666666
27207281,7,2015-05-26,2016-05-30,83,High,8,8,8,9,10,9,0.3,8.666666666666666
2582717,4,2013-07-05,2016-08-13,100,Very High,10,10,10,10,10,9,0.09,9.833333333333334
34300224,1,2017-04-16,2017-04-16,100,Very High,10,10,10,10,10,10,1.0,10.0
1010613,2,2016-08-10,2016-08-21,100,Very High,10,10,10,10,10,10,0.22,10.0
122699346,1,2017-04-02,2017-04-15,100,Very High,10,10,10,10,8,10,0.94,9.666666666666666
6151105,11,2016-02-15,2017-03-12,100,Very High,10,10,10,10,10,10,0.74,10.0
88561656,16,2016-10-19,2017-04-30,100,Very High,10,10,10,10,10,10,2.44,10.0
33989792,2,2016-10-20,2017-02-03,100,Very High,10,10,10,10,10,10,0.31,10.0
13039845,4,2016-09-30,2017-02-23,100,Very High,10,10,10,10,10,10,0.56,10.0
60057,2,2016-08-16,2016-10-26,100,Very High,10,10,10,10,10,10,0.23,10.0
1030745,208,2012-01-19,2017-04-24,96,Very High,10,9,10,10,9,10,3.23,9.666666666666666
465624,56,2011-08-26,2017-04-25,85,Very High,8,8,9,9,9,8,0.81,8.5
119843308,1,2017-03-26,2017-03-26,80,High,10,8,10,10,10,8,0.77,9.333333333333334
35308112,103,2015-09-24,2017-04-09,95,Very High,10,10,10,10,10,10,5.26,10.0
39528519,5,2015-09-15,2017-02-11,100,Very High,10,10,10,10,10,10,0.25,10.0
262696,121,2010-11-14,2016-10-03,97,Very High,10,10,10,10,10,10,1.54,10.0
6121136,47,2015-02-10,2017-04-09,98,Very High,10,10,10,10,10,10,1.73,10.0
35244528,2,2015-07-12,2016-01-08,80,High,9,7,8,10,10,8,0.09,8.666666666666666
9165888,10,2015-08-09,2017-04-10,88,Very High,9,9,10,10,9,10,0.47,9.5
21862842,18,2016-01-13,2016-10-05,98,Very High,10,10,10,10,10,10,1.13,10.0
11028275,16,2014-11-25,2016-10-09,89,Very High,9,9,10,10,9,9,0.54,9.333333333333334
38610324,2,2016-06-04,2016-06-14,100,Very High,10,10,10,10,10,10,0.18,10.0
6537884,1,2015-07-18,2015-07-18,100,Very High,,,,10,10,10,0.05,10.0
21940642,1,2016-11-30,2016-11-30,80,High,8,10,8,8,8,6,0.19,8.0
36069115,3,2017-04-04,2017-04-30,100,Very High,10,10,9,10,10,10,3.0,9.833333333333334
28891032,22,2016-08-27,2017-04-10,97,Very High,10,10,10,10,10,10,2.64,10.0
20868926,2,2016-09-06,2017-01-02,90,Very High,10,10,10,10,10,10,0.25,10.0
74386873,18,2016-09-24,2017-04-11,89,Very High,9,8,10,10,10,9,2.43,9.333333333333334
4488999,2,2015-07-19,2017-05-01,100,Very High,10,10,10,10,10,10,0.09,10.0
35762401,14,2015-07-11,2017-04-13,85,Very High,9,8,9,9,9,8,0.63,8.666666666666666
3967420,2,2016-08-01,2016-08-22,100,Very High,10,10,10,9,9,10,0.22,9.666666666666666
20590638,8,2017-03-20,2017-04-28,98,Very High,10,10,10,10,10,10,5.33,10.0
5582383,87,2015-01-31,2017-04-17,95,Very High,10,10,10,10,10,10,3.17,10.0
14560547,1,2016-07-18,2016-07-18,80,High,10,10,10,10,8,10,0.1,9.666666666666666
78557191,2,2016-07-22,2016-07-25,,,,,,,,,0.21,
4448629,3,2015-06-15,2015-07-20,93,Very High,10,9,9,9,10,9,0.13,9.333333333333334
61979706,1,2017-01-03,2017-01-03,100,Very High,10,10,10,10,10,10,0.25,10.0
50287939,24,2016-10-27,2017-04-25,93,Very High,9,10,10,10,10,10,3.81,9.833333333333334
7114236,28,2016-01-15,2016-12-16,98,Very High,10,10,10,10,9,10,1.77,9.833333333333334
44124201,2,2016-03-09,2016-03-24,90,Very High,9,10,9,10,10,10,0.14,9.666666666666666
35712882,69,2015-06-15,2017-04-23,93,Very High,10,9,10,10,9,9,3.0,9.5
17054148,145,2015-03-05,2017-04-30,99,Very High,10,10,10,10,10,10,5.5,10.0
10160618,7,2015-11-22,2017-03-09,91,Very High,9,9,10,9,9,9,0.4,9.166666666666666
50568317,10,2016-07-22,2017-04-18,86,Very High,9,8,9,10,9,9,1.05,9.0
7996624,31,2015-03-28,2017-04-09,99,Very High,10,10,10,10,10,10,1.21,10.0
14795131,1,2016-05-23,2016-05-23,100,Very High,10,10,10,10,10,10,0.09,10.0
80961628,4,2017-04-19,2017-04-30,95,Very High,10,10,10,10,9,9,4.0,9.666666666666666
6432920,22,2013-08-05,2016-07-29,94,Very High,10,10,10,10,10,9,0.48,9.833333333333334
51843892,2,2016-06-27,2016-10-02,100,Very High,10,10,10,10,10,10,0.19,10.0
3069669,2,2013-03-05,2014-12-27,90,Very High,8,9,9,10,10,7,0.04,8.833333333333334
34506667,40,2016-04-22,2017-04-10,82,High,8,8,9,8,9,8,3.18,8.333333333333334
15725425,4,2016-06-12,2016-08-05,90,Very High,10,10,10,10,10,10,0.37,10.0
14204407,20,2016-10-29,2017-04-18,97,Very High,10,10,10,10,10,10,3.21,10.0
9985550,2,2017-03-14,2017-04-24,100,Very High,10,10,10,10,10,10,1.18,10.0
3211667,37,2013-04-14,2017-04-14,89,Very High,9,9,10,9,9,9,0.75,9.166666666666666
107587090,21,2017-01-12,2017-04-18,90,Very High,9,9,10,10,9,9,5.63,9.333333333333334
31749741,3,2016-07-24,2016-08-02,100,Very High,10,10,10,10,10,10,0.32,10.0
13150643,18,2016-12-30,2017-04-30,100,Very High,10,10,10,10,10,10,4.32,10.0
23422877,116,2014-12-30,2017-04-06,91,Very High,9,9,10,9,10,9,4.06,9.333333333333334
19544020,2,2014-09-28,2014-10-20,100,Very High,10,10,10,9,10,10,0.06,9.833333333333334
40143943,35,2015-08-19,2017-05-01,97,Very High,10,9,10,10,10,9,1.68,9.666666666666666
11178527,2,2015-12-29,2016-07-24,80,High,8,7,8,9,10,9,0.12,8.5
76262280,6,2016-06-13,2017-01-04,100,Very High,10,10,10,10,10,10,0.55,10.0
42606156,17,2016-07-04,2017-04-16,92,Very High,10,10,10,10,8,9,1.68,9.5
21529783,5,2016-11-21,2017-03-26,100,Very High,10,10,10,10,10,10,0.91,10.0
40119108,2,2016-08-21,2016-08-27,90,Very High,10,10,10,10,9,9,0.23,9.666666666666666
4659840,6,2016-08-23,2016-12-22,97,Very High,10,10,10,10,10,10,0.71,10.0
6327715,1,2016-02-29,2016-02-29,80,High,10,8,10,10,8,10,0.07,9.333333333333334
21013529,84,2016-01-01,2017-04-13,92,Very High,10,10,10,10,9,10,5.15,9.833333333333334
55168084,2,2016-06-07,2016-11-19,100,Very High,10,10,10,10,10,10,0.18,10.0
76161778,3,2017-04-01,2017-04-30,93,Very High,10,10,10,10,10,10,2.73,10.0
6662450,7,2016-03-03,2016-12-15,100,Very High,10,10,10,10,10,10,0.49,10.0
9794560,64,2015-01-28,2017-04-16,100,Very High,10,10,10,10,10,10,2.32,10.0
13621311,9,2015-09-21,2016-12-20,93,Very High,9,8,10,10,10,9,0.46,9.333333333333334
34954723,2,2015-07-22,2015-09-29,100,Very High,9,9,10,10,10,10,0.09,9.666666666666666
2115205,1,2017-03-25,2017-03-25,100,Very High,10,10,10,10,10,10,0.75,10.0
133280,6,2017-02-17,2017-04-23,96,Very High,10,10,10,10,10,10,2.37,10.0
53640085,36,2016-08-12,2017-04-25,99,Very High,10,10,10,10,10,10,4.08,10.0
76398146,51,2016-09-02,2017-05-01,96,Very High,10,10,10,10,10,10,6.27,10.0
42432662,23,2016-06-11,2016-12-01,99,Very High,10,9,10,10,10,10,2.11,9.833333333333334
1937752,35,2014-12-01,2017-04-10,95,Very High,10,9,10,10,10,9,1.19,9.666666666666666
21049322,3,2017-03-17,2017-04-25,80,High,9,8,10,9,10,9,1.88,9.166666666666666
43626965,4,2015-10-24,2016-09-16,95,Very High,10,10,10,9,10,10,0.22,9.833333333333334
38278502,30,2015-08-02,2017-04-01,97,Very High,10,10,10,10,10,10,1.41,10.0
12812866,25,2016-12-03,2017-04-19,94,Very High,10,9,9,9,10,10,4.93,9.5
8289317,11,2014-06-18,2017-03-29,98,Very High,10,10,10,10,10,10,0.31,10.0
2120798,4,2016-09-14,2017-04-17,100,Very High,10,10,10,10,10,10,0.52,10.0
5726639,69,2015-03-21,2015-11-18,94,Very High,10,10,10,10,10,9,2.67,9.833333333333334
30311201,14,2016-08-31,2017-04-17,84,High,8,9,9,9,9,9,1.7,8.833333333333334
4705793,1,2017-03-26,2017-03-26,100,Very High,10,10,8,8,8,10,0.77,9.0
847346,1,2016-01-03,2016-01-03,100,Very High,10,10,10,10,10,10,0.06,10.0
8896045,30,2015-09-25,2017-04-15,99,Very High,10,10,10,10,10,10,1.53,10.0
2013772,6,2012-07-30,2015-11-05,100,Very High,10,10,10,10,10,10,0.1,10.0
48573281,95,2016-05-09,2017-04-26,90,Very High,9,9,10,10,9,9,7.92,9.333333333333334
32047340,4,2016-11-06,2017-04-01,95,Very High,10,10,10,10,10,9,0.67,9.833333333333334
1763193,27,2012-06-24,2017-03-31,96,Very High,9,10,10,10,10,9,0.46,9.666666666666666
31533086,55,2016-05-06,2017-04-23,91,Very High,10,9,10,10,8,9,4.55,9.333333333333334
40095109,59,2015-10-26,2017-03-26,98,Very High,10,10,10,10,10,10,3.18,10.0
1418622,28,2014-09-17,2017-03-12,83,High,9,7,9,9,10,9,0.88,8.833333333333334
87636945,1,2017-03-27,2017-03-27,80,High,8,10,10,10,10,10,0.79,9.666666666666666
70979452,2,2016-09-20,2017-03-27,100,Very High,10,10,10,10,10,10,0.27,10.0
53656760,30,2016-09-18,2017-04-19,99,Very High,10,10,10,10,9,10,3.95,9.833333333333334
3903741,1,2016-07-12,2016-07-12,100,Very High,10,10,10,10,10,10,0.1,10.0
125869180,1,2017-04-29,2017-04-29,100,Very High,10,10,10,10,10,10,1.0,10.0
9871566,13,2016-07-17,2017-04-02,94,Very High,10,9,10,10,10,9,1.34,9.666666666666666
20746443,2,2016-04-14,2016-08-15,100,Very High,10,10,10,10,10,10,0.16,10.0
70084231,13,2016-05-23,2016-08-15,98,Very High,10,10,10,10,10,10,1.13,10.0
59759209,10,2016-05-11,2017-04-06,92,Very High,9,9,10,10,9,9,0.84,9.333333333333334
23389136,163,2015-08-28,2017-04-17,90,Very High,9,9,10,10,10,9,7.95,9.5
17194608,19,2016-02-16,2017-03-30,99,Very High,10,9,10,10,10,10,1.29,9.833333333333334
12953845,32,2014-03-24,2016-08-09,97,Very High,10,9,10,10,10,10,0.84,9.833333333333334
64319430,44,2016-08-23,2017-05-01,93,Very High,9,10,10,10,10,9,5.2,9.666666666666666
9954475,57,2016-04-21,2017-04-29,96,Very High,10,10,10,10,10,9,4.52,9.833333333333334
13856090,1,2017-03-27,2017-03-27,100,Very High,10,10,10,10,8,10,0.79,9.666666666666666
55067641,14,2017-02-04,2017-04-08,84,High,9,10,10,9,10,9,4.72,9.5
103155204,5,2017-04-12,2017-04-27,88,Very High,10,10,10,10,10,10,5.0,10.0
100985891,1,2017-03-15,2017-03-15,80,High,8,8,8,8,6,8,0.6,7.666666666666667
33946462,2,2016-07-24,2016-08-15,100,Very High,10,10,10,10,10,8,0.21,9.666666666666666
1374966,4,2016-02-14,2016-03-28,100,Very High,10,10,10,10,10,10,0.27,10.0
90459103,17,2016-09-03,2017-04-30,98,Very High,10,10,10,10,10,10,2.1,10.0
12247975,20,2017-03-03,2017-04-24,96,Very High,10,10,10,10,9,10,9.84,9.833333333333334
763777,1,2016-08-22,2016-08-22,,,,,,,,,0.12,
23133031,72,2015-06-18,2017-04-20,96,Very High,10,10,10,10,10,10,3.15,10.0
19303446,73,2014-08-20,2017-04-29,99,Very High,10,10,10,10,10,10,2.22,10.0
11580312,18,2015-07-24,2016-09-21,89,Very High,9,9,9,9,9,9,0.83,9.0
6197767,45,2013-07-21,2017-03-28,94,Very High,9,9,10,10,10,10,0.98,9.666666666666666
3537928,8,2015-07-16,2016-09-18,90,Very High,10,10,10,10,9,9,0.36,9.666666666666666
37688337,4,2016-11-03,2016-11-22,100,Very High,10,10,10,10,10,10,0.66,10.0
9031634,55,2015-06-20,2017-04-26,89,Very High,9,9,10,10,9,9,2.41,9.333333333333334
19009196,160,2014-10-28,2017-05-02,84,High,9,8,9,9,9,9,5.22,8.833333333333334
37173481,14,2015-07-19,2017-04-12,98,Very High,9,10,10,10,10,10,0.64,9.833333333333334
26543758,1,2016-08-26,2016-08-26,80,High,8,10,10,6,8,8,0.12,8.333333333333334
119131148,13,2017-03-17,2017-04-28,95,Very High,10,9,10,10,10,10,8.13,9.833333333333334
64199212,9,2016-08-22,2017-01-26,98,Very High,10,10,10,10,10,10,1.06,10.0
16440070,2,2016-01-05,2016-01-16,90,Very High,10,10,10,10,10,10,0.12,10.0
58481702,18,2016-05-19,2017-03-27,83,High,9,8,8,9,9,9,1.54,8.666666666666666
523903,3,2011-10-24,2016-01-02,87,Very High,9,8,9,9,9,9,0.04,8.833333333333334
6793558,11,2014-08-03,2017-03-08,76,High,9,7,8,8,6,8,0.33,7.666666666666667
62848087,23,2016-12-10,2017-04-23,96,Very High,10,10,10,10,10,10,4.76,10.0
98822405,1,2016-10-28,2016-10-28,40,Low,6,6,4,8,8,6,0.16,6.333333333333333
9370566,1,2014-05-30,2014-05-30,100,Very High,10,10,10,10,10,10,0.03,10.0
26860,73,2015-04-27,2017-02-05,90,Very High,9,9,9,9,9,9,2.97,9.0
4373660,27,2013-03-29,2016-11-11,99,Very High,10,10,10,10,10,10,0.54,10.0
9507500,39,2014-06-03,2017-03-19,98,Very High,10,10,10,10,10,10,1.1,10.0
5612388,92,2015-03-22,2017-03-27,99,Very High,10,10,10,10,10,10,3.57,10.0
23468837,64,2016-03-13,2017-04-19,95,Very High,10,10,10,10,9,10,4.6,9.833333333333334
20084023,18,2014-08-24,2016-10-17,96,Very High,10,10,10,10,10,9,0.55,9.833333333333334
29418545,2,2015-09-04,2015-10-27,90,Very High,10,10,10,10,8,9,0.1,9.5
106242299,1,2017-03-31,2017-04-01,100,Very High,10,10,10,10,10,10,0.88,10.0
3521693,7,2016-11-04,2017-04-16,97,Very High,10,10,10,10,10,10,1.16,10.0
76769856,4,2016-12-11,2017-01-10,100,Very High,10,9,10,9,9,10,0.84,9.5
103735469,1,2017-03-30,2017-03-30,100,Very High,10,2,10,10,10,10,0.86,8.666666666666666
109399044,2,2017-02-12,2017-03-17,100,Very High,10,10,10,10,8,9,0.74,9.5
20873551,3,2015-06-17,2015-06-29,100,Very High,10,10,9,10,10,9,0.13,9.666666666666666
12997136,16,2015-01-02,2016-08-08,90,Very High,10,9,9,9,10,9,0.56,9.333333333333334
10532909,3,2016-01-03,2016-05-04,60,Moderate,7,5,7,5,9,6,0.18,6.5
62037740,14,2016-04-20,2017-03-12,97,Very High,10,10,10,10,10,10,1.11,10.0
116429949,7,2017-02-26,2017-04-24,77,High,9,8,10,10,10,8,3.18,9.166666666666666
69428463,107,2016-06-05,2017-04-30,97,Very High,10,10,10,10,9,10,9.64,9.833333333333334
1378320,2,2017-02-09,2017-02-19,100,Very High,10,10,10,10,10,10,0.71,10.0
15055244,8,2015-01-04,2017-02-20,98,Very High,10,10,10,10,10,10,0.28,10.0
2569016,49,2013-07-31,2017-03-27,83,High,8,8,9,9,9,8,1.07,8.5
11364720,1,2014-11-15,2014-11-15,100,Very High,10,10,10,10,10,10,0.03,10.0
4408146,6,2013-01-02,2016-08-06,97,Very High,10,10,10,10,10,9,0.11,9.833333333333334
43955786,11,2016-06-08,2017-02-03,87,Very High,9,9,9,9,10,9,1.0,9.166666666666666
42941446,1,2016-09-05,2016-09-05,100,Very High,10,10,10,10,10,10,0.12,10.0
73239037,22,2016-06-18,2017-04-23,92,Very High,9,9,10,10,9,9,2.06,9.333333333333334
30515217,14,2016-08-29,2017-04-21,97,Very High,10,10,10,10,10,10,1.69,10.0
70557251,3,2016-05-16,2016-06-06,93,Very High,10,10,9,10,10,10,0.25,9.833333333333334
22178957,1,2017-04-02,2017-04-02,,,,,,,,,0.94,
32224814,78,2015-11-21,2017-04-18,96,Very High,10,10,10,10,10,10,4.42,10.0
35242887,124,2015-12-23,2017-04-27,89,Very High,9,10,10,10,10,9,7.47,9.666666666666666
61388765,1,2017-03-28,2017-03-28,100,Very High,10,10,10,10,10,10,0.81,10.0
27269245,5,2015-02-11,2016-11-19,100,Very High,10,10,10,10,10,10,0.18,10.0
16862571,4,2017-04-09,2017-04-27,95,Very High,9,10,10,9,9,10,4.0,9.5
199081,7,2017-02-26,2017-04-24,97,Very High,10,10,10,10,10,10,3.13,10.0
38987205,12,2016-09-01,2017-04-17,95,Very High,10,9,10,10,10,9,1.47,9.666666666666666
100088112,35,2016-12-13,2017-05-01,99,Very High,10,10,10,10,10,10,7.39,10.0
9149835,60,2015-12-30,2017-03-25,99,Very High,10,10,10,10,10,10,3.67,10.0
35407381,25,2015-06-28,2016-07-25,95,Very High,10,10,10,10,10,9,1.11,9.833333333333334
840823,85,2013-11-19,2016-10-23,96,Very High,10,10,10,10,10,10,2.02,10.0
