host_id,number_of_reviews,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
12507557,81,2015-01-28,2017-04-09,96.0,10.0,10.0,10.0,10.0,9.0,9.0,2.94
2127973,24,2015-11-07,2017-04-16,95.0,10.0,9.0,10.0,10.0,10.0,10.0,1.32
35163508,1,2017-03-27,2017-03-27,80.0,8.0,10.0,10.0,10.0,10.0,10.0,0.79
9171,33,2009-08-31,2017-04-17,94.0,10.0,10.0,10.0,9.0,9.0,9.0,0.35
50986630,0,,,,,,,,,,
3941221,14,2015-06-20,2017-01-02,96.0,10.0,10.0,10.0,10.0,10.0,10.0,0.61
48809775,0,,,,,,,,,,
3685,21,2014-03-01,2017-02-24,96.0,9.0,9.0,10.0,10.0,10.0,9.0,0.54
65149660,4,2016-04-15,2016-06-05,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0.31
7182808,9,2016-06-13,2017-04-15,85.0,9.0,8.0,10.0,10.0,10.0,9.0,0.83
2887127,2,2017-03-24,2017-04-19,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1.46
101127126,1,2017-04-20,2017-04-20,80.0,10.0,6.0,10.0,10.0,6.0,8.0,1.0
11105778,97,2014-01-20,2017-04-28,93.0,10.0,10.0,10.0,10.0,10.0,9.0,2.43
89746190,3,2016-11-19,2017-02-01,87.0,9.0,9.0,9.0,9.0,10.0,9.0,0.54
1454964,2,2016-11-13,2017-03-10,90.0,8.0,9.0,9.0,8.0,9.0,9.0,0.35
26025871,1,2016-01-15,2016-01-15,60.0,10.0,10.0,10.0,10.0,10.0,8.0,0.06
43812214,10,2016-03-24,2016-12-27,98.0,10.0,10.0,10.0,10.0,10.0,10.0,0.74
9872749,0,,,,,,,,,,
38250065,31,2016-10-12,2017-04-26,97.0,10.0,10.0,10.0,10.0,10.0,10.0,4.56
90551238,0,,,,,,,,,,
85312238,6,2017-03-06,2017-04-22,90.0,8.0,9.0,10.0,10.0,6.0,9.0,3.05
3379091,4,2013-09-30,2016-05-14,90.0,9.0,9.0,9.0,9.0,9.0,9.0,0.09
46333806,51,2015-10-12,2017-04-10,97.0,10.0,10.0,10.0,10.0,10.0,10.0,2.69
21372666,9,2016-01-10,2017-04-30,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0.56
97175766,0,,,,,,,,,,
5437481,24,2016-08-08,2017-04-09,99.0,10.0,10.0,10.0,10.0,10.0,10.0,2.68
87867794,2,2016-08-09,2016-08-18,70.0,6.0,6.0,10.0,10.0,10.0,7.0,0.22
25759020,50,2016-05-02,2017-05-01,92.0,10.0,9.0,10.0,10.0,9.0,9.0,4.09
22022352,9,2016-06-18,2017-04-11,80.0,8.0,8.0,9.0,9.0,8.0,7.0,0.84
7992508,18,2013-11-03,2017-04-17,99.0,10.0,9.0,10.0,10.0,10.0,9.0,0.42
97303284,4,2017-02-14,2017-04-14,90.0,9.0,8.0,10.0,10.0,10.0,10.0,1.52
35524432,13,2016-06-24,2016-08-28,98.0,10.0,10.0,10.0,10.0,9.0,10.0,1.24
114360857,2,2017-02-12,2017-02-20,80.0,7.0,8.0,9.0,9.0,5.0,6.0,0.74
45324825,1,2017-04-10,2017-04-10,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0
12807196,7,2016-09-12,2017-03-17,94.0,10.0,9.0,10.0,10.0,10.0,10.0,0.9
12227135,9,2017-03-02,2017-04-22,98.0,10.0,10.0,10.0,10.0,10.0,10.0,4.29
166089,61,2014-06-26,2017-04-30,89.0,9.0,9.0,9.0,10.0,10.0,9.0,1.75
66243566,1,2017-02-12,2017-02-12,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0.37
2058419,3,2013-01-01,2015-09-10,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0.06
63208372,2,2017-03-19,2017-04-02,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1.3
26714731,0,,,,,,,,,,
33659101,0,,,,,,,,,,
12831142,6,2016-11-06,2017-04-26,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1.01
5955579,37,2013-05-30,2017-03-28,99.0,10.0,10.0,10.0,10.0,10.0,9.0,0.77
690099,18,2016-08-03,2017-04-21,91.0,10.0,9.0,9.0,9.0,10.0,9.0,1.97
21304470,24,2015-05-27,2017-03-25,98.0,10.0,10.0,10.0,10.0,10.0,10.0,1.02
6457164,3,2015-08-17,2016-11-20,93.0,10.0,9.0,10.0,10.0,9.0,10.0,0.14
119012327,15,2017-03-10,2017-04-21,97.0,10.0,10.0,10.0,10.0,10.0,10.0,8.18
75052,200,2010-02-22,2017-05-01,97.0,10.0,10.0,10.0,10.0,10.0,9.0,2.28
106026643,0,,,,,,,,,,
55164533,2,2016-05-08,2017-03-12,100.0,10.0,10.0,10.0,10.0,10.0,8.0,0.17
25902066,4,2015-08-23,2016-09-05,100.0,10.0,10.0,10.0,10.0,10.0,9.0,0.19
4509643,4,2017-04-16,2017-04-27,100.0,10.0,10.0,10.0,10.0,10.0,10.0,4.0
54224577,5,2017-03-13,2017-04-01,100.0,10.0,10.0,10.0,10.0,10.0,10.0,2.88
92390530,22,2016-09-04,2017-01-09,86.0,9.0,8.0,9.0,10.0,9.0,9.0,2.73
30872820,17,2015-06-13,2017-04-09,91.0,10.0,8.0,10.0,10.0,10.0,9.0,0.74
48339015,2,2017-03-09,2017-03-12,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1.07
90758261,8,2016-10-16,2017-02-20,95.0,10.0,10.0,10.0,9.0,9.0,9.0,1.2
16381957,2,2016-07-11,2016-08-08,100.0,10.0,8.0,10.0,10.0,10.0,10.0,0.2
15336919,15,2015-07-25,2017-02-06,83.0,8.0,9.0,9.0,9.0,9.0,8.0,0.69
13386202,6,2017-02-05,2017-04-15,87.0,9.0,8.0,9.0,9.0,9.0,8.0,2.05
4374692,13,2016-10-29,2017-03-29,100.0,10.0,10.0,10.0,10.0,10.0,10.0,2.09
10695276,1,2016-09-02,2016-09-02,100.0,10.0,10.0,6.0,10.0,8.0,8.0,0.12
20089599,346,2014-08-22,2017-04-17,95.0,9.0,10.0,9.0,10.0,10.0,9.0,10.53
50849425,1,2016-01-05,2016-01-05,80.0,10.0,8.0,10.0,10.0,10.0,10.0,0.06
60414489,17,2016-05-06,2017-03-14,91.0,9.0,10.0,9.0,10.0,9.0,9.0,1.4
10348368,0,,,,,,,,,,
35660072,3,2016-07-16,2016-08-04,60.0,5.0,7.0,7.0,7.0,9.0,7.0,0.31
21664149,33,2014-11-04,2017-03-04,98.0,10.0,10.0,10.0,10.0,10.0,10.0,1.09
10651976,65,2016-03-05,2017-04-30,96.0,10.0,10.0,10.0,10.0,10.0,10.0,4.59
99502905,8,2016-10-16,2017-02-14,76.0,6.0,8.0,9.0,8.0,8.0,7.0,1.2
15223759,12,2014-10-12,2016-01-02,98.0,10.0,10.0,10.0,10.0,10.0,10.0,0.39
70344,20,2016-02-21,2016-11-06,93.0,10.0,10.0,10.0,10.0,10.0,10.0,1.37
24041211,1,2017-04-22,2017-04-22,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0
50397645,11,2015-12-15,2016-08-28,94.0,9.0,8.0,10.0,10.0,10.0,9.0,0.65
24233754,1,2015-10-08,2015-10-08,,,,,,,,0.05
72568176,1,2017-02-15,2017-02-15,100.0,10.0,8.0,10.0,10.0,8.0,10.0,0.38
41771987,12,2015-09-22,2016-09-24,96.0,10.0,10.0,10.0,10.0,10.0,9.0,0.61
113111625,1,2017-03-05,2017-03-05,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0.5
125888051,0,,,,,,,,,,
97806979,0,,,,,,,,,,
48086838,7,2017-01-29,2017-05-01,83.0,8.0,9.0,9.0,10.0,10.0,8.0,2.21
54270621,87,2016-03-06,2017-04-21,98.0,10.0,10.0,10.0,10.0,10.0,10.0,6.16
2155546,51,2013-12-26,2017-04-08,95.0,9.0,9.0,10.0,10.0,10.0,9.0,1.25
47331910,2,2016-03-13,2016-07-25,90.0,9.0,8.0,10.0,10.0,10.0,10.0,0.14
22171649,2,2016-02-28,2016-08-14,100.0,10.0,10.0,10.0,10.0,9.0,9.0,0.14
121359829,4,2017-03-26,2017-04-21,95.0,10.0,9.0,10.0,10.0,10.0,10.0,3.08
50832968,81,2016-07-20,2017-04-21,90.0,9.0,9.0,10.0,10.0,10.0,9.0,8.44
31008174,162,2015-05-01,2017-04-22,91.0,9.0,8.0,10.0,10.0,9.0,9.0,6.62
18429531,90,2015-01-23,2017-04-21,99.0,10.0,10.0,10.0,10.0,10.0,10.0,3.25
5469474,3,2016-06-14,2017-03-26,100.0,10.0,10.0,10.0,10.0,9.0,10.0,0.28
19110598,2,2016-10-20,2017-04-27,100.0,10.0,10.0,9.0,10.0,10.0,10.0,0.31
22697135,7,2014-10-31,2017-04-30,89.0,9.0,9.0,9.0,9.0,9.0,9.0,0.23
27559410,111,2015-03-24,2017-04-22,97.0,10.0,10.0,10.0,10.0,10.0,10.0,4.31
104316115,7,2016-12-28,2017-03-26,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1.65
28595345,81,2016-07-10,2017-04-07,99.0,10.0,10.0,10.0,10.0,10.0,10.0,8.15
1717283,81,2012-02-27,2016-09-04,97.0,10.0,10.0,10.0,10.0,10.0,9.0,1.28
92029437,0,,,,,,,,,,
3097566,34,2013-06-19,2016-08-17,93.0,9.0,9.0,10.0,10.0,9.0,9.0,0.72
28943035,0,,,,,,,,,,
87159016,0,,,,,,,,,,
11428758,4,2017-01-17,2017-03-17,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1.12
67380690,4,2016-08-01,2017-04-30,90.0,9.0,10.0,10.0,10.0,10.0,9.0,0.43
27207281,7,2015-05-26,2016-05-30,83.0,8.0,8.0,8.0,9.0,10.0,9.0,0.3
2582717,4,2013-07-05,2016-08-13,100.0,10.0,10.0,10.0,10.0,10.0,9.0,0.09
34300224,1,2017-04-16,2017-04-16,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0
1010613,2,2016-08-10,2016-08-21,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0.22
122699346,1,2017-04-02,2017-04-15,100.0,10.0,10.0,10.0,10.0,8.0,10.0,0.94
6151105,11,2016-02-15,2017-03-12,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0.74
88561656,16,2016-10-19,2017-04-30,100.0,10.0,10.0,10.0,10.0,10.0,10.0,2.44
7182808,38,2016-01-17,2017-04-18,86.0,9.0,7.0,9.0,10.0,9.0,9.0,2.41
33989792,2,2016-10-20,2017-02-03,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0.31
67477079,0,,,,,,,,,,
13039845,4,2016-09-30,2017-02-23,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0.56
8442997,0,,,,,,,,,,
60057,2,2016-08-16,2016-10-26,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0.23
1030745,208,2012-01-19,2017-04-24,96.0,10.0,9.0,10.0,10.0,9.0,10.0,3.23
465624,56,2011-08-26,2017-04-25,85.0,8.0,8.0,9.0,9.0,9.0,8.0,0.81
119843308,1,2017-03-26,2017-03-26,80.0,10.0,8.0,10.0,10.0,10.0,8.0,0.77
35308112,103,2015-09-24,2017-04-09,95.0,10.0,10.0,10.0,10.0,10.0,10.0,5.26
502882,0,,,,,,,,,,
94577113,0,,,,,,,,,,
57581615,0,,,,,,,,,,
39528519,5,2015-09-15,2017-02-11,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0.25
262696,121,2010-11-14,2016-10-03,97.0,10.0,10.0,10.0,10.0,10.0,10.0,1.54
6121136,47,2015-02-10,2017-04-09,98.0,10.0,10.0,10.0,10.0,10.0,10.0,1.73
35244528,2,2015-07-12,2016-01-08,80.0,9.0,7.0,8.0,10.0,10.0,8.0,0.09
9165888,10,2015-08-09,2017-04-10,88.0,9.0,9.0,10.0,10.0,9.0,10.0,0.47
21862842,18,2016-01-13,2016-10-05,98.0,10.0,10.0,10.0,10.0,10.0,10.0,1.13
11978797,0,,,,,,,,,,
11028275,16,2014-11-25,2016-10-09,89.0,9.0,9.0,10.0,10.0,9.0,9.0,0.54
38610324,2,2016-06-04,2016-06-14,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0.18
6537884,1,2015-07-18,2015-07-18,100.0,,,,10.0,10.0,10.0,0.05
21940642,1,2016-11-30,2016-11-30,80.0,8.0,10.0,8.0,8.0,8.0,6.0,0.19
36069115,3,2017-04-04,2017-04-30,100.0,10.0,10.0,9.0,10.0,10.0,10.0,3.0
28891032,22,2016-08-27,2017-04-10,97.0,10.0,10.0,10.0,10.0,10.0,10.0,2.64
4051877,0,,,,,,,,,,
119784728,0,,,,,,,,,,
20868926,2,2016-09-06,2017-01-02,90.0,10.0,10.0,10.0,10.0,10.0,10.0,0.25
45312242,0,,,,,,,,,,
74386873,18,2016-09-24,2017-04-11,89.0,9.0,8.0,10.0,10.0,10.0,9.0,2.43
5566718,0,,,,,,,,,,
4488999,2,2015-07-19,2017-05-01,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0.09
35762401,14,2015-07-11,2017-04-13,85.0,9.0,8.0,9.0,9.0,9.0,8.0,0.63
32295628,0,,,,,,,,,,
3967420,2,2016-08-01,2016-08-22,100.0,10.0,10.0,10.0,9.0,9.0,10.0,0.22
20590638,8,2017-03-20,2017-04-28,98.0,10.0,10.0,10.0,10.0,10.0,10.0,5.33
5582383,87,2015-01-31,2017-04-17,95.0,10.0,10.0,10.0,10.0,10.0,10.0,3.17
14766506,0,,,,,,,,,,
14560547,1,2016-07-18,2016-07-18,80.0,10.0,10.0,10.0,10.0,8.0,10.0,0.1
78557191,2,2016-07-22,2016-07-25,,,,,,,,0.21
4448629,3,2015-06-15,2015-07-20,93.0,10.0,9.0,9.0,9.0,10.0,9.0,0.13
61979706,1,2017-01-03,2017-01-03,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0.25
50287939,24,2016-10-27,2017-04-25,93.0,9.0,10.0,10.0,10.0,10.0,10.0,3.81
53099207,0,,,,,,,,,,
7114236,28,2016-01-15,2016-12-16,98.0,10.0,10.0,10.0,10.0,9.0,10.0,1.77
44124201,2,2016-03-09,2016-03-24,90.0,9.0,10.0,9.0,10.0,10.0,10.0,0.14
35712882,69,2015-06-15,2017-04-23,93.0,10.0,9.0,10.0,10.0,9.0,9.0,3.0
17054148,145,2015-03-05,2017-04-30,99.0,10.0,10.0,10.0,10.0,10.0,10.0,5.5
10160618,7,2015-11-22,2017-03-09,91.0,9.0,9.0,10.0,9.0,9.0,9.0,0.4
50568317,10,2016-07-22,2017-04-18,86.0,9.0,8.0,9.0,10.0,9.0,9.0,1.05
7996624,31,2015-03-28,2017-04-09,99.0,10.0,10.0,10.0,10.0,10.0,10.0,1.21
14795131,1,2016-05-23,2016-05-23,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0.09
53997138,0,,,,,,,,,,
26660499,0,,,,,,,,,,
80961628,4,2017-04-19,2017-04-30,95.0,10.0,10.0,10.0,10.0,9.0,9.0,4.0
119012327,21,2017-03-08,2017-04-28,97.0,10.0,10.0,10.0,10.0,10.0,10.0,11.05
6432920,22,2013-08-05,2016-07-29,94.0,10.0,10.0,10.0,10.0,10.0,9.0,0.48
51843892,2,2016-06-27,2016-10-02,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0.19
4530864,0,,,,,,,,,,
3069669,2,2013-03-05,2014-12-27,90.0,8.0,9.0,9.0,10.0,10.0,7.0,0.04
34506667,40,2016-04-22,2017-04-10,82.0,8.0,8.0,9.0,8.0,9.0,8.0,3.18
15725425,4,2016-06-12,2016-08-05,90.0,10.0,10.0,10.0,10.0,10.0,10.0,0.37
14204407,20,2016-10-29,2017-04-18,97.0,10.0,10.0,10.0,10.0,10.0,10.0,3.21
9985550,2,2017-03-14,2017-04-24,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1.18
3211667,37,2013-04-14,2017-04-14,89.0,9.0,9.0,10.0,9.0,9.0,9.0,0.75
107587090,21,2017-01-12,2017-04-18,90.0,9.0,9.0,10.0,10.0,9.0,9.0,5.63
59063330,0,,,,,,,,,,
31749741,3,2016-07-24,2016-08-02,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0.32
13150643,18,2016-12-30,2017-04-30,100.0,10.0,10.0,10.0,10.0,10.0,10.0,4.32
23422877,116,2014-12-30,2017-04-06,91.0,9.0,9.0,10.0,9.0,10.0,9.0,4.06
123510139,0,,,,,,,,,,
19544020,2,2014-09-28,2014-10-20,100.0,10.0,10.0,10.0,9.0,10.0,10.0,0.06
40143943,35,2015-08-19,2017-05-01,97.0,10.0,9.0,10.0,10.0,10.0,9.0,1.68
11178527,2,2015-12-29,2016-07-24,80.0,8.0,7.0,8.0,9.0,10.0,9.0,0.12
29602639,0,,,,,,,,,,
76262280,6,2016-06-13,2017-01-04,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0.55
42606156,17,2016-07-04,2017-04-16,92.0,10.0,10.0,10.0,10.0,8.0,9.0,1.68
21529783,5,2016-11-21,2017-03-26,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0.91
40119108,2,2016-08-21,2016-08-27,90.0,10.0,10.0,10.0,10.0,9.0,9.0,0.23
4659840,6,2016-08-23,2016-12-22,97.0,10.0,10.0,10.0,10.0,10.0,10.0,0.71
20901286,0,,,,,,,,,,
1304475,0,,,,,,,,,,
6327715,1,2016-02-29,2016-02-29,80.0,10.0,8.0,10.0,10.0,8.0,10.0,0.07
21013529,84,2016-01-01,2017-04-13,92.0,10.0,10.0,10.0,10.0,9.0,10.0,5.15
55168084,2,2016-06-07,2016-11-19,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0.18
34300224,0,,,,,,,,,,
76161778,3,2017-04-01,2017-04-30,93.0,10.0,10.0,10.0,10.0,10.0,10.0,2.73
6662450,7,2016-03-03,2016-12-15,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0.49
9794560,64,2015-01-28,2017-04-16,100.0,10.0,10.0,10.0,10.0,10.0,10.0,2.32
13621311,9,2015-09-21,2016-12-20,93.0,9.0,8.0,10.0,10.0,10.0,9.0,0.46
34954723,2,2015-07-22,2015-09-29,100.0,9.0,9.0,10.0,10.0,10.0,10.0,0.09
9248134,0,,,,,,,,,,
2115205,1,2017-03-25,2017-03-25,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0.75
133280,6,2017-02-17,2017-04-23,96.0,10.0,10.0,10.0,10.0,10.0,10.0,2.37
53640085,36,2016-08-12,2017-04-25,99.0,10.0,10.0,10.0,10.0,10.0,10.0,4.08
71011333,0,,,,,,,,,,
76398146,51,2016-09-02,2017-05-01,96.0,10.0,10.0,10.0,10.0,10.0,10.0,6.27
42432662,23,2016-06-11,2016-12-01,99.0,10.0,9.0,10.0,10.0,10.0,10.0,2.11
1937752,35,2014-12-01,2017-04-10,95.0,10.0,9.0,10.0,10.0,10.0,9.0,1.19
21049322,3,2017-03-17,2017-04-25,80.0,9.0,8.0,10.0,9.0,10.0,9.0,1.88
43626965,4,2015-10-24,2016-09-16,95.0,10.0,10.0,10.0,9.0,10.0,10.0,0.22
38278502,30,2015-08-02,2017-04-01,97.0,10.0,10.0,10.0,10.0,10.0,10.0,1.41
113937798,0,,,,,,,,,,
12812866,25,2016-12-03,2017-04-19,94.0,10.0,9.0,9.0,9.0,10.0,10.0,4.93
8289317,11,2014-06-18,2017-03-29,98.0,10.0,10.0,10.0,10.0,10.0,10.0,0.31
2120798,4,2016-09-14,2017-04-17,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0.52
5726639,69,2015-03-21,2015-11-18,94.0,10.0,10.0,10.0,10.0,10.0,9.0,2.67
30311201,14,2016-08-31,2017-04-17,84.0,8.0,9.0,9.0,9.0,9.0,9.0,1.7
4705793,1,2017-03-26,2017-03-26,100.0,10.0,10.0,8.0,8.0,8.0,10.0,0.77
847346,1,2016-01-03,2016-01-03,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0.06
8896045,30,2015-09-25,2017-04-15,99.0,10.0,10.0,10.0,10.0,10.0,10.0,1.53
2013772,6,2012-07-30,2015-11-05,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0.1
48573281,95,2016-05-09,2017-04-26,90.0,9.0,9.0,10.0,10.0,9.0,9.0,7.92
13246272,0,,,,,,,,,,
6121136,2,2016-11-20,2017-03-31,90.0,9.0,8.0,10.0,10.0,10.0,8.0,0.36
62891798,0,,,,,,,,,,
32047340,4,2016-11-06,2017-04-01,95.0,10.0,10.0,10.0,10.0,10.0,9.0,0.67
1763193,27,2012-06-24,2017-03-31,96.0,9.0,10.0,10.0,10.0,10.0,9.0,0.46
31533086,55,2016-05-06,2017-04-23,91.0,10.0,9.0,10.0,10.0,8.0,9.0,4.55
40095109,59,2015-10-26,2017-03-26,98.0,10.0,10.0,10.0,10.0,10.0,10.0,3.18
55130296,0,,,,,,,,,,
107529971,0,,,,,,,,,,
1418622,28,2014-09-17,2017-03-12,83.0,9.0,7.0,9.0,9.0,10.0,9.0,0.88
47211602,0,,,,,,,,,,
87636945,1,2017-03-27,2017-03-27,80.0,8.0,10.0,10.0,10.0,10.0,10.0,0.79
70979452,2,2016-09-20,2017-03-27,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0.27
37625152,0,,,,,,,,,,
53656760,30,2016-09-18,2017-04-19,99.0,10.0,10.0,10.0,10.0,9.0,10.0,3.95
3903741,1,2016-07-12,2016-07-12,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0.1
9511316,0,,,,,,,,,,
39528519,0,,,,,,,,,,
125869180,1,2017-04-29,2017-04-29,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0
9871566,13,2016-07-17,2017-04-02,94.0,10.0,9.0,10.0,10.0,10.0,9.0,1.34
20746443,2,2016-04-14,2016-08-15,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0.16
67819703,0,,,,,,,,,,
12089464,0,,,,,,,,,,
120323248,0,,,,,,,,,,
70084231,13,2016-05-23,2016-08-15,98.0,10.0,10.0,10.0,10.0,10.0,10.0,1.13
59759209,10,2016-05-11,2017-04-06,92.0,9.0,9.0,10.0,10.0,9.0,9.0,0.84
23389136,163,2015-08-28,2017-04-17,90.0,9.0,9.0,10.0,10.0,10.0,9.0,7.95
19696854,0,,,,,,,,,,
17194608,19,2016-02-16,2017-03-30,99.0,10.0,9.0,10.0,10.0,10.0,10.0,1.29
12953845,32,2014-03-24,2016-08-09,97.0,10.0,9.0,10.0,10.0,10.0,10.0,0.84
64319430,44,2016-08-23,2017-05-01,93.0,9.0,10.0,10.0,10.0,10.0,9.0,5.2
9954475,57,2016-04-21,2017-04-29,96.0,10.0,10.0,10.0,10.0,10.0,9.0,4.52
13856090,1,2017-03-27,2017-03-27,100.0,10.0,10.0,10.0,10.0,8.0,10.0,0.79
55067641,14,2017-02-04,2017-04-08,84.0,9.0,10.0,10.0,9.0,10.0,9.0,4.72
103155204,5,2017-04-12,2017-04-27,88.0,10.0,10.0,10.0,10.0,10.0,10.0,5.0
100985891,1,2017-03-15,2017-03-15,80.0,8.0,8.0,8.0,8.0,6.0,8.0,0.6
33946462,2,2016-07-24,2016-08-15,100.0,10.0,10.0,10.0,10.0,10.0,8.0,0.21
16795424,0,,,,,,,,,,
1374966,4,2016-02-14,2016-03-28,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0.27
11027071,0,,,,,,,,,,
90459103,17,2016-09-03,2017-04-30,98.0,10.0,10.0,10.0,10.0,10.0,10.0,2.1
12247975,20,2017-03-03,2017-04-24,96.0,10.0,10.0,10.0,10.0,9.0,10.0,9.84
763777,1,2016-08-22,2016-08-22,,,,,,,,0.12
23133031,72,2015-06-18,2017-04-20,96.0,10.0,10.0,10.0,10.0,10.0,10.0,3.15
42844361,0,,,,,,,,,,
19303446,73,2014-08-20,2017-04-29,99.0,10.0,10.0,10.0,10.0,10.0,10.0,2.22
11580312,18,2015-07-24,2016-09-21,89.0,9.0,9.0,9.0,9.0,9.0,9.0,0.83
198075,0,,,,,,,,,,
6197767,45,2013-07-21,2017-03-28,94.0,9.0,9.0,10.0,10.0,10.0,10.0,0.98
3537928,8,2015-07-16,2016-09-18,90.0,10.0,10.0,10.0,10.0,9.0,9.0,0.36
37688337,4,2016-11-03,2016-11-22,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0.66
9031634,55,2015-06-20,2017-04-26,89.0,9.0,9.0,10.0,10.0,9.0,9.0,2.41
19009196,160,2014-10-28,2017-05-02,84.0,9.0,8.0,9.0,9.0,9.0,9.0,5.22
37173481,14,2015-07-19,2017-04-12,98.0,9.0,10.0,10.0,10.0,10.0,10.0,0.64
26543758,1,2016-08-26,2016-08-26,80.0,8.0,10.0,10.0,6.0,8.0,8.0,0.12
32103382,0,,,,,,,,,,
119131148,13,2017-03-17,2017-04-28,95.0,10.0,9.0,10.0,10.0,10.0,10.0,8.13
109979600,0,,,,,,,,,,
64199212,9,2016-08-22,2017-01-26,98.0,10.0,10.0,10.0,10.0,10.0,10.0,1.06
50488861,0,,,,,,,,,,
21062115,0,,,,,,,,,,
