id,host_id,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities
4372192,17264039,Northridge,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",""Wireless Internet"",""Air conditioning"",Pool,Kitchen,""Free parking on premises"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}"
16298317,5994344,Palms,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,"{TV,Internet,""Wireless Internet"",Kitchen,""Free parking on premises"",""Pets allowed"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self Check-In"",Lockbox,""Private entrance""}"
15774349,26763810,Hollywood,Condominium,Private room,2,2.0,1.0,2.0,Real Bed,"{""Wireless Internet"",""Air conditioning"",Kitchen,""Pets live on this property"",Dog(s),Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}"
5262247,27240293,Carson,Townhouse,Private room,1,1.5,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air conditioning"",Pool,Kitchen,""Free parking on premises"",""Hot tub"",""Indoor fireplace"",""Buzzer/wireless intercom"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Hangers,Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}"
17226388,69003286,Boyle Heights,House,Private room,2,1.0,1.0,1.0,Real Bed,"{""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}"
18004419,94034299,Echo Park,House,Private room,3,1.5,1.0,2.0,Real Bed,"{""Wireless Internet"",""Air conditioning"",""Pets live on this property"",Dog(s),Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",Bathtub}"
17333752,92029437,Hollywood,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,"{TV,""Wireless Internet"",Kitchen,""Pets allowed"",""Pets live on this property"",Dog(s),Cat(s),""Elevator in building"",Heating,""Family/kid friendly"",""Smoke detector"",""First aid kit"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer""}"
16016181,14278191,Beverly Grove,Condominium,Private room,2,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",""Wireless Internet"",""Air conditioning"",Pool,Kitchen,Gym,""Pets live on this property"",Dog(s),""Elevator in building"",""Indoor fireplace"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_50""}"
15224549,53600974,Hollywood Hills,House,Entire home/apt,2,1.0,1.0,1.0,Real Bed,"{TV,Internet,""Wireless Internet"",Kitchen,""Free parking on premises"",""Smoking allowed"",""Pets allowed"",""Pets live on this property"",""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}"
7702451,9041863,Valley Glen,House,Private room,2,1.5,1.0,1.0,Real Bed,"{Internet,""Wireless Internet"",""Air conditioning"",Pool,Kitchen,""Free parking on premises"",""Pets live on this property"",Cat(s),Heating,Washer,Dryer,""Smoke detector"",""First aid kit"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}"
10144131,17985166,Lomita,House,Private room,1,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",""Wireless Internet"",""Air conditioning"",Kitchen,""Pets live on this property"",Dog(s),""Indoor fireplace"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",Essentials,""Lock on bedroom door"",Hangers,""Laptop friendly workspace""}"
917196,4925531,Calabasas,Apartment,Private room,2,1.0,1.0,1.0,Pull-out Sofa,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air conditioning"",Pool,""Free parking on premises"",""Hot tub"",Heating,""Smoke detector"",Essentials,Shampoo,Hangers,Iron,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}"
6451549,19976921,Beverly Grove,Apartment,Entire home/apt,5,1.0,1.0,2.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Free parking on premises"",""Pets allowed"",Heating,""Family/kid friendly"",""Suitable for events"",Washer,Dryer,""Smoke detector"",Essentials,Shampoo,""24-hour check-in"",Hangers,Iron,""Laptop friendly workspace""}"
344,767,Burbank,House,Entire home/apt,6,1.0,3.0,3.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air conditioning"",Pool,Kitchen,""Free parking on premises"",""Pets live on this property"",Dog(s),Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",Essentials,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}"
14143224,3638697,Mar Vista,House,Entire home/apt,7,2.0,3.0,4.0,Real Bed,"{TV,Internet,""Wireless Internet"",Kitchen,""Free parking on premises"",""Indoor fireplace"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}"
5078176,12507557,Downey,House,Private room,1,1.0,1.0,1.0,Futon,"{TV,""Wireless Internet"",""Air conditioning"",Pool,Kitchen,""Free parking on premises"",""Pets live on this property"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}"
3291844,2127973,Eagle Rock,House,Entire home/apt,6,2.0,3.0,4.0,Real Bed,"{Internet,""Wireless Internet"",""Air conditioning"",""Wheelchair accessible"",Kitchen,""Free parking on premises"",""Pets live on this property"",Cat(s),""Hot tub"",""Indoor fireplace"",Heating,""Family/kid friendly"",""Suitable for events"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}"
17517319,35163508,Torrance,Other,Entire home/apt,6,1.0,1.0,2.0,Real Bed,"{Internet,""Wireless Internet"",""Wheelchair accessible"",Heating,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self Check-In"",Lockbox,""Private entrance""}"
5729,9171,Del Rey,House,Private room,3,1.0,1.0,2.0,Airbed,"{Internet,""Wireless Internet"",""Free parking on premises"",Heating,""Family/kid friendly"",Washer,""Smoke detector"",Essentials,Shampoo,Hangers,Iron,""Laptop friendly workspace"",""Private entrance""}"
9917115,50986630,North Hollywood,Other,Entire home/apt,1,1.0,1.0,1.0,Futon,"{""Air conditioning"",""Suitable for events"",""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",""Lock on bedroom door"",""Laptop friendly workspace""}"
4263123,3941221,Los Feliz,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,"{Internet,""Wireless Internet"",Kitchen,""Free parking on premises"",Heating,Washer,Dryer,""Smoke detector"",""Fire extinguisher"",Essentials,Shampoo,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}"
9413704,48809775,Pasadena,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air conditioning"",Pool,Kitchen,""Free parking on premises"",Gym,""Elevator in building"",""Hot tub"",Heating,Washer,Dryer,""Smoke detector"",""Fire extinguisher"",Essentials,Hangers,Iron,""Laptop friendly workspace""}"
1866050,3685,Studio City,Other,Entire home/apt,3,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air conditioning"",Kitchen,""Free parking on premises"",""Pets allowed"",""Pets live on this property"",Dog(s),Cat(s),""Other pet(s)"",Heating,""Family/kid friendly"",""Smoke detector"",""First aid kit"",""Fire extinguisher"",Essentials}"
12136852,65149660,Mid-Wilshire,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air conditioning"",Pool,Kitchen,""Free parking on premises"",Gym,""Pets live on this property"",Dog(s),""Elevator in building"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,""Lock on bedroom door"",""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}"
13049719,7182808,East Hollywood,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,"{TV,Kitchen,Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,""Lock on bedroom door"",Hangers,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_50""}"
16813211,2887127,Ladera Heights,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,"{TV,Internet,""Wireless Internet"",Kitchen,""Free parking on premises"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",Bathtub}"
18124218,101127126,Westlake,Apartment,Entire home/apt,1,1.0,1.0,1.0,Real Bed,"{TV,""Wireless Internet"",Kitchen,Heating,""Family/kid friendly"",Washer,Dryer,Essentials,Hangers,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_50""}"
2177545,11105778,Los Feliz,House,Entire home/apt,2,0.5,1.0,1.0,Real Bed,"{TV,Internet,""Wireless Internet"",""Air conditioning"",""Free parking on premises"",Heating,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49""}"
14522689,89746190,Veterans Administration,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",""Wireless Internet"",""Air conditioning"",Kitchen,""Free parking on premises"",Heating,Washer,Dryer,""Smoke detector"",""First aid kit"",Essentials,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",Bathtub}"
14861467,1454964,Downtown,Apartment,Entire home/apt,8,2.0,1.0,4.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air conditioning"",Pool,Kitchen,""Free parking on premises"",Gym,Breakfast,""Elevator in building"",""Hot tub"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron}"
10452522,26025871,Santa Monica,Apartment,Entire home/apt,1,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",""Wireless Internet"",""Air conditioning"",Kitchen,""Elevator in building"",Heating,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,""24-hour check-in"",Hangers,""Hair dryer"",Iron}"
11660192,43812214,Mid-City,House,Entire home/apt,3,1.0,0.0,2.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air conditioning"",Kitchen,""Free parking on premises"",""Pets allowed"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Private entrance""}"
7386665,9872749,Encino,House,Entire home/apt,8,4.0,4.0,4.0,Real Bed,"{TV,""Cable TV"",""Wireless Internet"",""Air conditioning"",Pool,Kitchen,""Free parking on premises"",""Hot tub"",Heating,""Family/kid friendly"",Washer,Dryer,Essentials,Shampoo}"
15341907,38250065,Westchester,House,Private room,2,1.0,1.0,1.0,Real Bed,"{""Wireless Internet"",""Free parking on premises"",Heating,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}"
14596773,90551238,Bel-Air,House,Entire home/apt,6,2.0,3.0,3.0,Real Bed,"{TV,""Wireless Internet"",""Air conditioning"",Kitchen,""Free parking on premises"",Breakfast,""Indoor fireplace"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}"
17362678,85312238,Lynwood,Boutique hotel,Private room,2,1.0,0.0,1.0,Real Bed,"{TV,""Wireless Internet"",""Air conditioning"",""Free parking on premises"",Heating,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,Hangers,Iron}"
667836,3379091,Monrovia,House,Entire home/apt,4,1.0,1.0,2.0,Real Bed,"{TV,""Wireless Internet"",""Air conditioning"",Kitchen,""Free parking on premises"",""Pets live on this property"",Cat(s),Heating,""Family/kid friendly"",Washer,Dryer,""translation missing: en.hosting_amenity_50""}"
8848157,46333806,Hollywood,Apartment,Entire home/apt,6,2.0,2.0,3.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air conditioning"",Pool,Kitchen,""Free parking on premises"",Gym,""Elevator in building"",""Hot tub"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron}"
4119889,21372666,Reseda,House,Private room,1,1.0,1.0,1.0,Real Bed,"{TV,Internet,""Wireless Internet"",""Air conditioning"",Pool,Kitchen,""Free parking on premises"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",Essentials,""Lock on bedroom door"",""24-hour check-in"",Hangers,Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}"
16635538,97175766,Hollywood Hills,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,"{""Wireless Internet"",Kitchen,""Pets allowed"",""Elevator in building"",""Family/kid friendly"",Washer,Dryer,Essentials,Shampoo,Hangers}"
14232433,5437481,Silver Lake,Guesthouse,Entire home/apt,4,1.0,1.0,2.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air conditioning"",Kitchen,Heating,""Family/kid friendly"",Washer,Dryer,Essentials,Shampoo,Hangers,""Laptop friendly workspace""}"
14343834,87867794,Los Feliz,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,"{""Wireless Internet"",""Air conditioning"",Kitchen,""Free parking on premises"",""Family/kid friendly"",Washer,Dryer,""Smoke detector"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",""Laptop friendly workspace""}"
12011114,25759020,Long Beach,Apartment,Shared room,2,1.0,1.0,1.0,Pull-out Sofa,"{TV,Internet,""Wireless Internet"",Kitchen,Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,Iron}"
6586258,22022352,Baldwin Hills/Crenshaw,Apartment,Entire home/apt,3,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Smoking allowed"",Heating,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,""Hair dryer"",Iron,""Laptop friendly workspace""}"
1495256,7992508,Playa del Rey,House,Entire home/apt,7,5.0,3.0,4.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air conditioning"",""Wheelchair accessible"",Kitchen,""Free parking on premises"",""Indoor fireplace"",""Buzzer/wireless intercom"",Heating,""Family/kid friendly"",""Suitable for events"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self Check-In"",Smartlock,""Private entrance""}"
15470075,97303284,Santa Monica,Condominium,Entire home/apt,5,1.0,2.0,2.0,Real Bed,"{""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Free parking on premises"",""Indoor fireplace"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self Check-In"",Keypad,""Private entrance""}"
13045937,35524432,Unincorporated Santa Monica Mountains,Bungalow,Entire home/apt,4,1.0,1.0,2.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air conditioning"",Kitchen,""Free parking on premises"",""Pets live on this property"",Dog(s),Cat(s),""Other pet(s)"",Heating,Washer,Dryer,""Smoke detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Private entrance""}"
17041478,114360857,Downtown,House,Entire home/apt,4,1.0,1.0,1.0,Real Bed,"{TV,""Wheelchair accessible"",Kitchen,""Free parking on premises"",""Smoking allowed"",Heating,""Family/kid friendly"",""Suitable for events"",""Carbon monoxide detector"",""Laptop friendly workspace""}"
17731367,45324825,Hollywood Hills,House,Private room,3,1.0,1.0,2.0,Real Bed,"{Internet,""Wireless Internet"",""Air conditioning"",""Free parking on premises"",""Pets allowed"",Breakfast,Heating,""Family/kid friendly"",Washer,Dryer,""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Private entrance""}"
14983474,12807196,Hollywood,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,"{TV,""Wireless Internet"",""Air conditioning"",Kitchen,""Free parking on premises"",""Smoking allowed"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_50""}"
15325438,12227135,Hollywood Hills,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,"{TV,""Wireless Internet"",""Air conditioning"",Kitchen,Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Self Check-In"",Lockbox}"
3319449,166089,Venice,Apartment,Entire home/apt,3,1.0,0.0,2.0,Real Bed,"{Internet,""Wireless Internet"",Kitchen,Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_50""}"
16926535,66243566,San Pedro,Boat,Entire home/apt,2,1.0,1.0,2.0,Real Bed,"{""Free parking on premises"",Washer,Dryer,""Safety card"",""Fire extinguisher"",Essentials,""24-hour check-in"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}"
741486,2058419,Echo Park,House,Entire home/apt,3,2.5,2.0,1.0,Real Bed,"{TV,Internet,""Wireless Internet"",""Air conditioning"",Kitchen,""Free parking on premises"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector""}"
17560598,63208372,Arlington Heights,Apartment,Private room,3,1.0,2.0,2.0,Real Bed,"{TV,Internet,""Wireless Internet"",""Air conditioning"",Kitchen,""Free parking on premises"",""Pets live on this property"",""Indoor fireplace"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_50""}"
5164711,26714731,Beverlywood,House,Entire home/apt,6,3.0,4.0,6.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air conditioning"",Kitchen,""Free parking on premises"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}"
6461609,33659101,Westwood,Apartment,Entire home/apt,3,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air conditioning"",""Wheelchair accessible"",Pool,Kitchen,""Free parking on premises"",""Pets allowed"",Doorman,Gym,Breakfast,""Elevator in building"",""Hot tub"",""Indoor fireplace"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials}"
15485898,12831142,Highland Park,Guesthouse,Entire home/apt,3,1.0,1.0,2.0,Real Bed,"{TV,Internet,""Wireless Internet"",""Air conditioning"",Kitchen,""Free parking on premises"",Heating,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Private entrance""}"
1083221,5955579,Redondo Beach,House,Entire home/apt,8,2.5,4.0,4.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Free parking on premises"",""Hot tub"",""Indoor fireplace"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_50"",""Private entrance"",Bathtub,""High chair"",""Pack ’n Play/travel crib"",""Children’s dinnerware""}"
14285269,690099,Hollywood,Other,Private room,2,2.0,1.0,1.0,Real Bed,"{""Wireless Internet"",""Air conditioning"",Kitchen,Heating,""Smoke detector"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}"
6337392,21304470,Pasadena,House,Private room,1,1.0,1.0,1.0,Real Bed,"{Internet,""Wireless Internet"",""Air conditioning"",Kitchen,""Free parking on premises"",""Pets live on this property"",Heating,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",Shampoo}"
