Summary,Host ID,Polarity Score,Polarity Sentiment,Subjectivity Score,Subjectivity Sentiment
"great traveling buddy ~quiet , clean comfortable~ centrally located sunset & la brea . plenty natural light space relax unwind . walking distance hollywood blvd , famous chinese theatre , roosevelt hotel , rodeo drive , museum west hollywood ! great hiking nearby runyon canyon . juiceries , in-n-out burger , chick-fil-a , many ! ( choice either king size bed two twin . ) brand new listing ! experienced host 2 year .",26763810,0.38170163170163174,positive,0.5798368298368298,objective
"spacious 4 bedroom , 3 bathroom townhouse gated community pool & jacuzzi . 2 car attached garage , completely furnished internet , washer & dryer , directv , central air & heating , large balcony fireplace .",27240293,0.10476190476190476,positive,0.3595238095238095,objective
"short drive downtown la , great taco around corner",69003286,0.4,positive,0.525,objective
nice room entrance . located beautiful trendy silver lake/echo park . amazing view . 'll see hollywood sign ocean . close sunset blvd ton bar & restaurant . good thing echo park access freeway .,94034299,0.6699999999999999,positive,0.8800000000000001,objective
"walking distance tourist attraction , nightlife , hollywood sign , hollywood boulevard , griffith observatory much ! located hollywood minute away hollywood blvd view unit amazing , minute away freeway get valley beach . come enjoy unforgettable la stay hollywood",92029437,0.5125,positive,0.65,objective
"everything need life ! walk sunset , melrose , santa monica la cienega : ) ’ love place location , neighborhood super zen comfy . room seriously huge vaulted cielings tub jetted . plus 'm super cool need idea go .... also want chill veg .. everything delivers .. yes including alcohol grocery .... place good couple , solo adventurer , business traveler .",14278191,0.4452380952380953,positive,0.7261904761904763,objective
sunny relaxed 1-bedroom duplex great oasis return end busy day work enjoying southern california fun . pet-friendly centrally located .,53600974,0.2833333333333333,positive,0.3499999999999999,objective
private room cozy spacious townhouse private parking . hardwood floor comfortable queen-size bed . wifi enjoyment . accommodate 2 people ( couple ) good business vacation travel .,9041863,0.18,positive,0.58,objective
"safe , comfortable community , far beach . street house lined tree . plenty parking street front house . house cozy , central heating , fireplace .",17985166,0.16,positive,0.6599999999999999,objective
"great homey space , serene location ! condo located walking distance calabasas common . find boutique shop , retail store , fine dining , movie theater . 'm happy give recommendation restaurant try . question , ask .",4925531,0.4791666666666667,positive,0.6875,objective
"great natural light open feeling . centrally located within walking distance ton bars/restaurants/gallery 's fairfax santa monica blvd . walking distance bar , restaurant shopping melrose grove . quiet homey feeling . best value west hollywood !",19976921,0.32857142857142857,positive,0.4619047619047619,objective
"home perfect family ; aspiring child actor w/parents ; friend vacationing summer holiday . pool large , back patio terrific evening dinners/parties around firepit folk nighttime swim summer . chilly firepit fun winter . quiet neighborhood minute burbank airport freeway . great central location !",767,0.19047619047619047,positive,0.5402116402116403,objective
"place good couple , solo adventurer , business traveler , family ( kid ) . located heart los angeles , close venice beach santa monica location ideal exploring city .",3638697,0.8,positive,0.8,objective
"cozy private bedroom shared bathroom , plenty parking available . house located centrally la/hollywood , orange county , beach . easy access public transport 1 block away direct access lax . please bring postcard country , state , city leave fellow traveler see !",12507557,0.10833333333333335,positive,0.43928571428571433,objective
"near downtown los angeles pasadena rose bowl- beautifully restored 1910 california craftsman home trendy hip eagle rock . romantic & quiet . high speed internet , modern kitchen , patio , large backyard , ping-pong hot tub . perfect family , couple , filming . walk restaurant , coffee , bar , trader joes ! easy access public transport downtown , santa monica long beach . safe/quiet neighborhood . special offer ! !",2127973,0.3277103174603175,positive,0.6048888888888889,objective
"free wifi ! long term preferred ! plenty free street parking . unit charming location ! safe neighborhood , cool beach breeze area . block away huge park , near del amo mall , 6 minute drive beach ! private entry place close public transport , airport , city center , park , nightlife . ’ love place light , comfy bed , kitchen , coziness , high ceiling .",35163508,0.28910714285714284,positive,0.559404761904762,objective
"home located near venice beach without middle `` craziness '' also close lax . floating bed offer great healthy way spend night . see benefit search online sleeping ! like nature , backyard close get city angel 8 )",9171,0.40499999999999997,positive,0.53,objective
"fully functional equipped digital tracking , recording studio heart ho art district . feature separate `` cutting '' room control room huge glass window & gas glass door optimum recording situation . `` vibey ''",50986630,0.125,positive,0.675,objective
"enjoy private bedroom one hippest spot l.a. ! perfect walking distance nature hike griffith park ! village stroll cafe , restaurant , vista & los feliz 3 movie theater , lassen 's health food & deli , skylight book , !",3941221,0.4666666666666666,positive,0.625,objective
"hi , amazing 1 bedroom fully furnished apartment sublet 2 month , starting december 1st , 2015 february 1st , 2016. apartment heart old town pasadena , walking distance . great apartment complex .",48809775,0.24,positive,0.47000000000000003,objective
note : unit best suited couple one bedroom ! family young child welcome couch life radar . 's set 4 adult prefer rent . thanks !,3685,0.45,positive,0.42000000000000004,objective
"10th floor large bedroom private bath big closet plus king size comfy bed ! located heart la . across grove . 5-8 min away hollywood , beverly hill , rodeo drive . walking distance lacma many .",65149660,0.17857142857142858,positive,0.3508928571428571,objective
3-min walk metro station `` vermont/santa monica '' . great mix local visitor .,7182808,0.4,positive,0.375,objective
"cool , spacious 2 bedroom apartment feature huge master suite perfect 1 2 people , comfy brand new king size bed , large private bathroom ; minute beach scene , downtown , restaurant , gallery , nightlife , airport , hip & centrally located , demand locale . kitchen living room shared space . master bedroom master bath private . apartment large fun space . 'm artist . real art hanging 's creative , fun vibe .",2887127,0.27807192807192804,positive,0.5047452547452548,objective
"cozy , gated apartment near everything . five minute downtown hollywood . ten minute grove usc . window everywhere , hardwood floor , high ceiling , spacious clean . bus stop block half away subway station within walking distance . welcome los angeles !",101127126,0.18000000000000002,positive,0.4938095238095238,objective
"cottage studio guest house located gated property trendy neighborhood los feliz near silverlake , hollywood , echo park downtown .",11105778,0.35,positive,0.65,objective
"place quite building great vibe ... ( say 's romantic ) . perfect couple single . due great location also ideal business people student . village feeling area ; 5 minute walk whole food , starbucks , several fine restaurant , 7-10 minute westwood & century city . besides wifi cable , provide clean sheet , towel , bath/kitchen soap , condiment . let u know question !",89746190,0.398051948051948,positive,0.5626623376623378,objective
"walking distance convention center , staple la live ! building 2 pool , jacoozi private park play tennis , volleyball , golf , etc ! safe neighborhood close attraction ! place good couple , solo adventurer , business traveler , family ( kid ) , big group . also provide taxi shuttle service lax airport .",1454964,0.23257575757575757,positive,0.36250000000000004,objective
"nestled 4 block away promenade , beach .. cozy 500 sq foot apartment wonderful weekend stay ! 1 bedroom , bathroom , tv , wifi , full size bed , kitchen , bathroom heart santa monica !",26025871,0.41250000000000003,positive,0.7666666666666666,objective
"bright , spacious , private guest house 's entrance . nicely decorated great accommodation including several huge patio , yard , bbq , fire pit well ample private parking . 2 mile beverly hill , 3 west hollywood central ...",43812214,0.3125,positive,0.5562499999999999,objective
"indoor & outdoor living amazing pool , unique estate offer amazing opportunity enjoy best southern california .",9872749,0.49583333333333335,positive,0.6,objective
"whether visiting pleasure , business , one nearby college , place conveniently located many iconic place la known . lax , otis college , loyola marymount university 5 minute away . venice , marina del rey playa del rey le 3 mile away . many restaurant , grocery store beach within walking distance . also conveniently located near santa monica 405 freeway reach greater la location .",38250065,0.42000000000000004,positive,0.48,objective
"place close nightlife , public transport , airport , city center , park . ’ love place kitchen , coziness , high ceiling , view , location . place good couple , solo adventurer , business traveler , family ( kid ) .",90551238,0.252,positive,0.38133333333333336,objective
king size bad,85312238,-0.6999999999999998,negative,0.6666666666666666,subjective
"immaculate home back house lovely street alley access private parking . walk 3 block main street myrtle ave. enjoy restaurant , shopping movie theater . private yard beautiful garden , fairy fire-pit .",3379091,0.2738095238095238,positive,0.47619047619047616,objective
"superhost rated , best part hollywood walk fame .",46333806,1.0,positive,0.3,objective
"comfortable bed beautiful room clean , spacious comfortable house . 1 bath share . wifi . tv room welcome use large flat screen living room . use kitchen ( light cooking allowed kitchen ) , living room patio . maid house leave anything use cleaning condition founded .",21372666,0.4257440476190476,positive,0.6816964285714286,objective
"stay hollwood sign affordable price . studio apartment walking distance everything , best hiking spot , restaurant grocery store",97175766,1.0,positive,0.3,objective
"welcome hippest neighborhhod u according forbes magazine . light , airy , boutique hotel-like carrera marbled house.great couple , single traveler , business trip kid . choose great east side adventure chill sesh right couch apple tv , cable wifi . close food coffee like sawyer , lamill , night+market , silverlake wine dtla , hollywood los feliz.great clothing store like lake mohawk general store.happy awaits",5437481,0.3773809523809524,positive,0.6,objective
"place close starbucks , mgn five star cinema , trader joe 's , ralphs , ross , americana , glendale galleria , fashion plaza , glendale community college , octopus japanese restaurant . ’ love place neighborhood , comfy bed , safety . place good couple , solo adventurer , business traveler .",87867794,0.39999999999999997,positive,0.4000000000000001,objective
"* free street parking * 8 blks ( -1.5 mile ) beach * metro station 1/2 block away * leather couch & love seat * full size couch bed w/ temur pedic matress & 5 '' featherbed mattress * 60 inch tv w/ apple tv , netflix , & hd dvd living room",25759020,0.4166666666666667,positive,0.65,objective
"cozy apartment nestled mountain los angeles . 1 bedroom 1 bath sofa large balcony overlooking hillside . centered nature , close access several hiking trail , park , centrally located & close . sleep 3. great family , couple partner . private & quiet . central located apx . 10 minute lax , 10 minute beach 10 minute downtown . book today !",22022352,0.10178571428571428,positive,0.3921130952380953,objective
"enjoy spectacular sunset ocean view year long majestic , modern & relaxing property location ! location ! location ! •lax beachhouse 3000 sq.ft . private home beach •10 minute lax convenient los angeles",7992508,0.268125,positive,0.49499999999999994,objective
"unbeatable location , front unobstructed ocean view around . step sand ! ocean view modern luxurious condo 2br/1bath step sand santa monica beach , walk casa del mar , loews shutter hotel . across bike path walking distance santa monica pier , third street promenade , main street shop , restaurant . 5 min bike ride famous venice beach boardwalk . enjoy best santa monica ocean beach view spaciou",97303284,0.37777777777777777,positive,0.4055555555555555,objective
"cozy new bungalow full gourmet kitchen , bathtub & shower , washer & dryer , built stereo , flat screen tv , bedroom queen bed full size futon common area . 4.1 mile famous leo carrillo beach . breathtaking view state national park surround property . quiet rural setting malibu . hike , swim , bike , relax ! setting totally rural yet offer relatively easy access los angeles attraction famous malibu scene . 1 hour la & burbank airport .",35524432,0.21113053613053612,positive,0.5458624708624709,objective
"spacious 2000 sq ft. warehouse home away home located downtown la art district . great space creative inspiration well good night rest . located quiet street many cafe , shop & korea-town etc . 5-10 minute drive away . cool neighborhood silver lake echo park also 20 min drive . use kitchen appliance please respectful turn everything 's used . also gated garage upon entering property . enjoy .",114360857,0.46875,positive,0.6291666666666667,objective
"private room separate entrance terrace feature 2 beds/sofas bathroom . one sofa easily pull double bed ; comfortable day bed . space includes mini-fridge , toaster oven , electric kettle , small barbecue outside , plate cutlery . quiet tree-lined street , next door griffith park , hiking trail hollywood sign . good local restaurant cafe . ideal single , friend couple want secluded place easy access 101 freeway , hollywood downtown",45324825,0.19578754578754579,positive,0.4184065934065935,objective
"perfect location . private garage . everything newly remodeled . private entrance . perfect artist . beautiful 1 bedroom apartment located heart everything la . rated 96/100 walk score . space come 's private parking garage , double work space . everything apartment newly remodeled . picture speak .. great sense privacy place .",12807196,0.3922727272727273,positive,0.5784090909090909,objective
"hollywood studio apt convenient everything . walk hollywood blvd , vine street , pantages theatre , upright citizen 's brigade many hollywood land mark including hollywood sign . full kitchen , queen size bed . place comfortable . guest welcome look forward creating great experience .",12227135,0.5750000000000001,positive,0.75,objective
"stay private apartment venice beach- step away center famous venice boardwalk beach . walk restaurant , bar , skatepark , ocean , boardwalk & . room 1 full size bed , couch , blow mattress , fridge/freezer , toaster , flatscreen tv , coffee machine , free coffee & tea . private bathroom .",166089,0.19166666666666665,positive,0.5333333333333333,objective
"classic beauty retains much original design style inside . character space enjoy ( mention gorgeous view crisp ocean air ) make memorable stay onboard . 'll access larger two bedroom , living room/kitchenette tall mini-fridge & gas stove , deck . sorry , running water restroom , facility dock spotless private shower hot water . enjoy scenic walk around marina , nearby private beach , restaurant , huge park .",66243566,0.22628205128205126,positive,0.6333333333333333,objective
방이2개입니다 퀸싸이즈새침대 훌싸이즈새침대가 각 방에 놓여있고 각침대마다 히팅패드가있어 따뜻하게 지내실수있고 넓고 밝아요 큰부엌에는 냉장고 마이크로웨이브 개스렌지가 있어맘껏 사용할수있읍니다 샤워실은 새것이라 깨끗이 합니다,63208372,0.0,neutral,0.0,neutral
"invite stay 3 bedroom , 2800 sq . ft spacious , beautiful house located one nicest neighborhood l , . house includes large grassy landscaped backyard outdoor dining patio . kosher kitchen , den , family room .",26714731,0.5321428571428571,positive,0.7142857142857143,objective
"gorgeous apartment , complete amenity , offer `` home away home '' heart westwood ucla . whether 're work , play medical reason , state-of-the-art accommodation offer cal king bed , fully equipped kitchen , secure internet , dedicated parking , pool , jacuzzi fitness center . close la beach , getty , beverly hill much , much ! guest ...",33659101,0.22499999999999998,positive,0.3666666666666667,objective
"private tranquil retreat architect 's guest house awaits 10 minute downtown los angeles nearby pasadena cal tech occidental college . unique guesthouse nestled enormous oak tree shaded secluded garden located behind architect 's main house . easy street parking . discover nearby exciting eclectic shop , restaurant , gastro pub bar along highland park 's artsy vibrant ever-changing york blvd & figueroa st .",12831142,0.13020833333333334,positive,0.6593749999999999,objective
"come stay hive ! health wellness community located right heart historic hollywood . room furnished super comfy bedding , memory foam mattress pillow . particular room receives beautiful natural light , window face east welcome day . * great couple , professional solo adventurer .",690099,0.38357142857142856,positive,0.5385714285714285,objective
"beautiful home ! ! please click profile read 50 positive review lovely home . 2 block rose parade , rose bowl ( 5.2miles ) caltech ( 1.7 mile ) huntington library ( 2 mile ) , jpl ( 7 mile ) 1 pet dog life backyard",21304470,0.4462121212121212,positive,0.7381313131313131,objective
"room look right onto lush pool area . street super quiet yet close cafe , restaurant , shop transportation . lot indoor outdoor space !",6457164,0.17976190476190473,positive,0.4589285714285714,objective
"warm cozy studio full kitchen bathroom . big balcony . parking included . walk beach , rent bike , eat variety restaurant , see boat marina harbor ! great location ! friendly neighborhood ! meet local `` cow 's end '' famous coffee wrap cafe . great experience around . non smoking apartment .",119012327,0.3385416666666667,positive,0.5166666666666666,objective
"one block sqirl , best new restaurant silverlake ! ten minute walk sunset junction shop sunset boulevard heart silverlake . cafecito organico , best coffee shop silverlake also one block away ! whole house water filter , mean water everywhere house purified highest quality water possible california !",75052,0.29399350649350653,positive,0.44886363636363635,objective
bright room king size bed large walk-in closet private bathroom spacious house pool spa . located horse ranch agua dulce near vineyard vasquez rock pacific crest trail .,106026643,0.2535714285714286,positive,0.5008928571428571,objective
cozy room twin-size bed 1 person . room private entrance small private bathroom . room also small desk small refrigerator . great location . close hollywood attraction .,55164533,-0.021428571428571415,negative,0.4928571428571428,subjective
"fabulous location ! close highway i-405 i-10 ! plus , dont want drive , metro bus service close ! uber lyft ride really affordable get beach 3 mile away . win !",25902066,0.6604166666666667,positive,0.5333333333333333,objective
"welcome long beach ! private room located ocean blvd 2 bedroom oceanfront contemporary house across beach ... 2 block 2nd st. ( bar , restaurant , shop ... ) 5 min downtown long beach 10 min aquarium/queen mary",4509643,0.1423611111111111,positive,0.3736111111111111,objective
heart south l.a. come enjoy private bedroom stay cozy apartment . located 1 block south historic florence crenshaw intersection love positive vibe diversity community offer .,54224577,0.15454545454545457,positive,0.46174242424242423,objective
"prime location tourist ! 5 mile lax & inglewood forum . 15 minute dtla , manhattan beach , venice beach , marina del rey & 20 minute santa monica pier & promenade , hermosa beach & hollywood . conveniently located right 105 fwy & next 3 shopping center . next metro green line station public transit . neighborhood quite & safe . next best thing home ! perfect place couple , solo adventurer , business traveler , family ( kid ) , & furry friend .",92390530,0.24857142857142858,positive,0.28023809523809523,objective
"spacious bedroom bathroom heart westwood . shared two quiet professional entertainment industry ( 3 bed , 2 bath ) , newly remodeled space great view 3 minute away major highway , 10 minute away beach .",30872820,0.2197727272727273,positive,0.42757575757575755,objective
"weho treasure-spacious private room & bath -our private room bath close hamburger mary 's , local eatery , night life , free weho ridesharing within minute iconic grove . access common area , includes wet bar . place good couple , solo adventurer , business traveler , family .",48339015,0.15000000000000002,positive,0.44375,objective
"place close close wiltern theater , hollywood , koreatown , melrose , moca , labrea tar pit , staple center , downtown , grove shopping center , beverly center , chosun galbee . ’ love place location , outdoors space , people . place good couple , solo adventurer , business traveler , big group . 50in tv & android tv+projector , modern bar , full kitchen , ceramic cookware , microwave , panini oven , full size fridge , 2 ac , 1 living , 1 master .",90758261,0.19999999999999998,positive,0.3333333333333333,objective
great room shared 2 bedroom condo even better location . room literally located one block away beach walking distance world famous long beach pike pine avenue ! rest condo boast modern amenity .,16381957,0.3875,positive,0.59,objective
welcome rent room comfy place santa monica .,15336919,0.8,positive,0.9,objective
"private bedroom , 2 bathroom ( one full bath shower , one half bathroom ) . right next famous rodeo drive walking distance amazing restaurant best shopping beverly hill . block pristine regent beverly wilshire peninsula hotel .",13386202,0.3211309523809524,positive,0.478422619047619,objective
"place close ( close mean walkable ) melrose avenue shopping , grove , whole food , cv , coffee shop , yoga studio , gym , melrose trading post sunday , movie theater etc . ideal 're la day without car . ’ love place ambiance , outdoors space ( beautiful courtyard ! ) , sunlit bedroom , comfy full bed . place good solo adventurer business traveler .",4374692,0.4767857142857143,positive,0.6910714285714287,objective
"great space two traveler . full kitchen , bathroom , bedroom , living . second floor corner apartment hardwood floor , a/c , heating , large window overlooking centinela . next ballona creek trail , 15 min bike beach !",10695276,0.2728571428571428,positive,0.34571428571428575,objective
"beautiful single apartment : venice beach walk street , 1/2 block beach & boardwalk ; walk bike main street , santa monica pier , abbot kinney . easy citywide bus access ! come enjoy venice beach like local ! ( bike beach stuff available )",20089599,0.3267006802721088,positive,0.46870748299319726,objective
"1br/1ba close westwood village , ucla , century city mall beverly hill . also quick drive venice santa monica . lot space , carpeted floor , two balcony , fridge , stove , wifi , cable tv showtime , starz , netflix hulu .",50849425,0.3333333333333333,positive,0.5,objective
"new , remodeled unit walking distance hollywood blvd , restaurant , metro one block hollywood sign . hard wood floor , new appliance , beautiful light quality chic furniture . private garage . new plumbing .",60414489,0.19534632034632032,positive,0.5686147186147186,objective
"koreatown , hollywood , los feliz , dowtown . private bedroom , private bathroom , hardwood floor , walk-in closet , cable tv , wifi , living room , dining room , oven , refrigerator , microwave , freezer , balcony , deck , washer/dryer .",10348368,0.0,neutral,0.375,neutral
"全新独立卫生间 , 超大房间有2个queen size的大床 !",35660072,0.0,neutral,0.0,neutral
"private room contains real twin bed ( depicted photo ) . full-size sofa bed depicted moved . also desk , chair , end table , mirror closet . starting august 13 , 2016 , city cerritos longer allows short-term rental , accepting booking 31 night .",21664149,0.06666666666666667,positive,0.25833333333333336,objective
apartment located heart westwood village . close ucla campus . safe area great neighborhood . grocery store bus station block away . relaxing sunny patio offer great view entire area .,10651976,0.525,positive,0.65625,objective
place close downtown la santa monica beach . ’ love place comfy bed high ceiling . place good big group .,99502905,0.33999999999999997,positive,0.46,objective
"beautiful house glendale close rose bowl downtown la . four furnished bedroom ( 1 king , 3 queen bed ) 3 bedroom flatscreen tv . master bedroom jacuzzi tub . fully equipped kitchen large living room 60 '' flatscreen tv .",15223759,0.5547619047619047,positive,0.7928571428571428,objective
"could pay $ 350/night roosevelt hotel across street single room stay ( beautiful 1200 sf 2+2 top floor ) real space around . 's hard find place hollywood cheap , clean super convenient !",70344,0.29627976190476185,positive,0.577827380952381,objective
"simple clean space relax . home away home . quiet backstreet . close beach , nightlife , farmer market , cafe fantastic food . also convenient smcc .",24041211,0.19166666666666668,positive,0.5726190476190476,objective
"gorgeous apt heart los feliz ( one blk away virginia street great cafe night life ) . apartment still original decor/trim 1920s . wooden floor , long closet , huge french door window throughout .",50397645,0.35312499999999997,positive,0.5875,objective
"charming two bedroom , two bathroom apartment located right sunset boulevard west hollywood . large dining area kitchen space . apartment right across william s. hart park well .",24233754,0.37142857142857144,positive,0.625,objective
"255 sq ft studio apartment designed choose interior , mark sepulveda . 's perfect little hide way creature comfort mind .",72568176,0.40625,positive,0.75,objective
super spacious & comfy 1 bedroom apartment heart los feliz . located main strip vermont hillhurst . perfect professional traveler .,41771987,0.4,positive,0.525,objective
"place close getty musuem , universal , main street walk restraint store .. place good couple , solo adventurer , business traveler .",113111625,0.28888888888888886,positive,0.3111111111111111,objective
amazing location amazing traveler business solo people . right 3 min walk sunset/vermont metro subway ( redline ),125888051,0.49523809523809526,positive,0.7785714285714286,objective
"located heart los angeles , apartment conveniently close downtown la , hollywood , koreatown , chinatown , major freeway . private room one three bedroom cozy apartment . come one guaranteed parking spot parking garage , guest parking available .",97806979,0.06562500000000002,positive,0.50625,objective
hollywood experience - 100 % private room 3 window view city . panoramic 360 view roof . see hollywood sign way downtown . easy access public transportation metro/buses . safe neighborhood walk day night . comfortable apt . high-pressure dual-head shower plenty hot water . laundry site . organic coffee morning . woodfire pizza shop 24-hr convenience store ( 7-11 ) corner & cat .,54270621,0.31190476190476196,positive,0.6321428571428572,objective
quiet dirt road enroute red rock park nestled amongst grove old sycamore tree exists oasis hustle city surprisingly nearby . find u instagram @ redrockretreat,2155546,0.19999999999999998,positive,0.2583333333333333,objective
"cosy room private bath contemporary art provides couple one person lovely getaway large los angeles metropolis . located foothill , home offer deck pool , garden mountain vista .",47331910,0.22023809523809523,positive,0.4300595238095238,objective
"home area fit traditional cookie cutter mold , temple surbubia offer refreshing approach unique interior . 15 miutes la , 10 minute fine asian cuisine 626 offer !",22171649,0.28194444444444444,positive,0.6083333333333333,objective
"nice , luxury , fully furnished apartment . full kitchen new appliance , bright living room tv , nice balcony view mountain , large bedroom memory foam queen mattress . even keyboard . washer dryer unit . complex salt water pool , full gym , restaurant downstairs , small grocery store , hair nail salon , even bar . space close union station , many bar restaurant , farmer market , 5 minute central dtla .",121359829,0.2636953955135774,positive,0.5757378984651712,objective
"marvelous house , large 3 bedroom 2 bathroom house big backyard private pool . house located heart brentwood . walking distance grocery store , restaurant shop brentwood village . also pool back yard . kitchenware , toiletry well basic & hbo cable wifi . walk ralph 's ( 3 block ) get grocery ( open 24h daily ) - check 4:00 pm - check 10:00",50832968,0.15178571428571427,positive,0.31607142857142856,objective
"private bedroom available quiet street venice . area convenient everything west la/venice ; beach , grocery store , shopping mall , abbot kinney shop minute away . amenity : wifi internet , washer/dryer , kitchen , tv , bike",31008174,0.13333333333333333,positive,0.36944444444444446,objective
"cozy quiet private room private full bathroom queen size comfortable bed soft bed sheet comforter . complex beautiful swimming pool , hot tub , gym well kept lush ground . enjoy resort like environment .",18429531,0.1625,positive,0.548611111111111,objective
"place close los angeles , santa monica , west la , kaiser permanente medical center . ’ love high ceiling people . unique bonus room turned cottage like setting , raised ceiling beamed ceiling , throughout house overlooking beautiful backyard , desk , large leaning floor mirror , brand new queen bed , semi private half bath . look forward hosting !",5469474,0.19273160173160175,positive,0.46647835497835494,objective
"stay heart long beach 's east village art district 1/3 price hotel area ! walk beach , convention center , pine ave , pike , gallery , bar , cafe , etc . room offer free wifi , cable , hbo , etc .",19110598,0.07916666666666668,positive,0.43333333333333335,objective
"eclectic unique warehouse space lofted balcony-bedroom pull-out south art district downtown la ! perfect creative retreat , film/photography shoot , workshop , rehearsal home base explore downtown los angeles ! film rental rate differ overnight stay . message pricing .",22697135,0.2421875,positive,1.0,objective
welcome sanborn residence ! completely renovated 100 year old craftsman duplex located heart silver lake perfect relaxing urban retreat lively excursion bustling la enclave .,27559410,0.3893939393939394,positive,0.5,objective
"absolutely love place . located right heart downtown los angeles put walking distance staple center , convention center , la live , train station , minute usc . spacious convenient .",104316115,0.1444155844155844,positive,0.36714285714285716,objective
"guest room feature california king bed work best easygoing , friendly traveler looking comfy place . adjoining full bathroom private . offer basic space sleep shower . check-in 4 pm 9 pm . airbnb account holder plus second traveler ( ) , booking behalf someone else . important note : making reservation , please read full description house rule make sure space right fit .",28595345,0.3327922077922078,positive,0.47496392496392503,objective
"one four bedroom luxurious house huge common area available . conveniently located quiet , friendly , safe block beautiful town san gabriel , southern california , step business area- le 5 minute walk .",3097566,0.278125,positive,0.5166666666666666,objective
"modern space , gorgeous hardwood throughout , gourmet kitchen fully equipped . huge full length window fantastic ocean view ! cross street palisade park & beach ! hotel quality linen ! balcony & patio . bike available . walk everywhere !",28943035,0.37857142857142856,positive,0.5642857142857143,objective
"place close public transport . ’ love place location ambiance . place good couple , solo adventurer , business traveler .",87159016,0.39999999999999997,positive,0.4222222222222222,objective
"cozy , airy 2 br apt nestled santa monica venice beach . 1 private room available shared bathroom . amazing location - 5 block beach . short walk 're ! 3 block main street upscale shopping trendy boutique . great restaurant nearby ... free parking !",11428758,0.3466666666666667,positive,0.6508333333333333,objective
"place 10 minute downtown los angeles hollywood , lacc college ( great student ) , 20 minute beverly hill , universal studio . centrally located iconic place la . ’ love place hospitality , clean , safe great . information available case needed brochure , map tour , event , hospital , medical center , business related .",67380690,0.3138888888888889,positive,0.4125000000000001,objective
